protein_id	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
WP_002913359.1	S	protein conserved in bacteria	yfcZ	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0044424,GO:0044444,GO:0044464"	-	-	-	-	-	-	-	-	-	-	DUF406
WP_002913360.1	I	long-chain fatty acid transport protein	fadL	"GO:0003674,GO:0005215,GO:0005319,GO:0005324,GO:0005342,GO:0005575,GO:0005623,GO:0006810,GO:0006811,GO:0006820,GO:0006869,GO:0008028,GO:0008150,GO:0008509,GO:0008514,GO:0009279,GO:0010876,GO:0015075,GO:0015245,GO:0015267,GO:0015288,GO:0015318,GO:0015483,GO:0015711,GO:0015718,GO:0015849,GO:0015908,GO:0015909,GO:0016020,GO:0019867,GO:0022803,GO:0022829,GO:0022834,GO:0022836,GO:0022857,GO:0030312,GO:0030313,GO:0031975,GO:0033036,GO:0034220,GO:0044462,GO:0044464,GO:0046942,GO:0046943,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071944,GO:0098656,GO:1903825,GO:1905039"	-	ko:K06076	-	-	-	-	"ko00000,ko02000"	1.B.9	-	"iECs_1301.ECs3227,iG2583_1286.G2583_2880,iZ_1308.Z3608"	Toluene_X
WP_002913362.1	M	Lipoprotein	vacJ	"GO:0006810,GO:0006811,GO:0006820,GO:0006869,GO:0008150,GO:0009987,GO:0010876,GO:0015711,GO:0015748,GO:0015914,GO:0016043,GO:0033036,GO:0051179,GO:0051234,GO:0061024,GO:0071702,GO:0071840,GO:0120009,GO:0120010"	-	ko:K04754	-	-	-	-	ko00000	-	-	-	MlaA
WP_002913374.1	K	response regulator	ypdB	"GO:0003674,GO:0003676,GO:0003677,GO:0005488,GO:0006355,GO:0008150,GO:0009889,GO:0010468,GO:0010556,GO:0019219,GO:0019222,GO:0031323,GO:0031326,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0080090,GO:0097159,GO:1901363,GO:1903506,GO:2000112,GO:2001141"	-	"ko:K02477,ko:K07705"	"ko02020,map02020"	M00492	-	-	"ko00000,ko00001,ko00002,ko02022"	-	-	-	"LytTR,Response_reg"
WP_002913377.1	F	Belongs to the bacterial glucokinase family	glk	"GO:0003674,GO:0003824,GO:0004340,GO:0004396,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0006082,GO:0006090,GO:0006091,GO:0006096,GO:0006139,GO:0006163,GO:0006164,GO:0006165,GO:0006725,GO:0006732,GO:0006733,GO:0006753,GO:0006754,GO:0006757,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009108,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009132,GO:0009135,GO:0009141,GO:0009142,GO:0009144,GO:0009145,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009166,GO:0009167,GO:0009168,GO:0009179,GO:0009185,GO:0009199,GO:0009201,GO:0009205,GO:0009206,GO:0009259,GO:0009260,GO:0009987,GO:0016052,GO:0016053,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0017144,GO:0018130,GO:0019200,GO:0019359,GO:0019362,GO:0019363,GO:0019438,GO:0019439,GO:0019637,GO:0019693,GO:0019752,GO:0032787,GO:0034404,GO:0034641,GO:0034654,GO:0034655,GO:0042866,GO:0043436,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044262,GO:0044270,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046031,GO:0046034,GO:0046390,GO:0046394,GO:0046434,GO:0046483,GO:0046496,GO:0046700,GO:0046835,GO:0046939,GO:0051156,GO:0051186,GO:0051188,GO:0055086,GO:0071704,GO:0072330,GO:0072521,GO:0072522,GO:0072524,GO:0072525,GO:0090407,GO:1901135,GO:1901137,GO:1901292,GO:1901293,GO:1901360,GO:1901361,GO:1901362,GO:1901564,GO:1901566,GO:1901575,GO:1901576"	2.7.1.2	ko:K00845	"ko00010,ko00052,ko00500,ko00520,ko00521,ko00524,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00052,map00500,map00520,map00521,map00524,map01100,map01110,map01120,map01130,map01200"	"M00001,M00549"	"R00299,R01600,R01786"	"RC00002,RC00017"	"ko00000,ko00001,ko00002,ko01000"	-	-	iNRG857_1313.NRG857_12000	Glucokinase
WP_002913419.1	S	Protein of unknown function (DUF2502)	ypeC	-	-	-	-	-	-	-	-	-	-	-	DUF2502
WP_002913421.1	P	"H( )-stimulated, divalent metal cation uptake system"	mntH	"GO:0000041,GO:0003674,GO:0005215,GO:0005384,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0006824,GO:0006826,GO:0006828,GO:0008150,GO:0008324,GO:0009987,GO:0010035,GO:0010038,GO:0010039,GO:0015075,GO:0015077,GO:0015078,GO:0015086,GO:0015291,GO:0015292,GO:0015293,GO:0015318,GO:0015672,GO:0015684,GO:0015691,GO:0016020,GO:0016021,GO:0022804,GO:0022857,GO:0022890,GO:0030001,GO:0031224,GO:0034220,GO:0042221,GO:0044425,GO:0044464,GO:0046873,GO:0046915,GO:0050896,GO:0051179,GO:0051234,GO:0051716,GO:0055085,GO:0070574,GO:0070838,GO:0070887,GO:0071241,GO:0071248,GO:0071281,GO:0071421,GO:0071944,GO:0072511,GO:0098655,GO:0098660,GO:0098662,GO:1902600"	-	ko:K03322	-	-	-	-	"ko00000,ko02000"	"2.A.55.2.6,2.A.55.3"	-	iSF_1195.SF2457	Nramp
WP_002913423.1	F	Belongs to the concentrative nucleoside transporter (CNT) (TC 2.A.41) family	nupC	"GO:0003674,GO:0005215,GO:0005337,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006812,GO:0008150,GO:0008324,GO:0015075,GO:0015077,GO:0015078,GO:0015212,GO:0015213,GO:0015214,GO:0015291,GO:0015293,GO:0015294,GO:0015295,GO:0015318,GO:0015506,GO:0015672,GO:0015858,GO:0015861,GO:0015862,GO:0015864,GO:0015931,GO:0015932,GO:0016020,GO:0016021,GO:0022804,GO:0022857,GO:0022890,GO:0031224,GO:0031226,GO:0034220,GO:0044425,GO:0044459,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071705,GO:0071944,GO:0072531,GO:0098655,GO:0098660,GO:0098662,GO:1901264,GO:1901505,GO:1901642,GO:1902600"	-	"ko:K03317,ko:K11535"	-	-	-	-	"ko00000,ko02000"	"2.A.41,2.A.41.1"	-	iECOK1_1307.ECOK1_2708	"Gate,Nucleos_tra2_C,Nucleos_tra2_N"
WP_002913434.1	L	Negative Regulator	yfeC	-	-	-	-	-	-	-	-	-	-	-	DUF1323
WP_002913435.1	L	Putative transcription regulator (DUF1323)	yfeD	-	-	-	-	-	-	-	-	-	-	-	DUF1323
WP_002913438.1	K	transcriptional regulator	yfeR	"GO:0000976,GO:0000984,GO:0000986,GO:0000987,GO:0001017,GO:0001067,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006351,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016070,GO:0018130,GO:0019438,GO:0032774,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0043565,GO:0044212,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0071704,GO:0090304,GO:0097159,GO:0097659,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1990837"	-	ko:K17737	-	-	-	-	"ko00000,ko03000"	-	-	-	"HTH_1,LysR_substrate"
WP_002913439.1	S	Bile acid sodium symporter	yfeH	"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944"	-	ko:K14347	-	-	-	-	"ko00000,ko02000,ko04147"	2.A.93.1	-	-	SBF_like
WP_002913440.1	S	protein conserved in bacteria	ypeB	-	-	ko:K09954	-	-	-	-	ko00000	-	-	-	QSregVF_b
WP_002913498.1	E	Belongs to the cysteine synthase cystathionine beta- synthase family	cysK	"GO:0000096,GO:0000097,GO:0003674,GO:0003824,GO:0004124,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006534,GO:0006535,GO:0006563,GO:0006790,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009069,GO:0009070,GO:0009333,GO:0009987,GO:0016053,GO:0016740,GO:0016765,GO:0016829,GO:0016846,GO:0019344,GO:0019752,GO:0019842,GO:0030170,GO:0032991,GO:0036094,GO:0043167,GO:0043168,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044272,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0048037,GO:0050662,GO:0070279,GO:0071704,GO:0080146,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607,GO:1902494,GO:1990234"	2.5.1.47	ko:K01738	"ko00270,ko00920,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00270,map00920,map01100,map01110,map01120,map01130,map01200,map01230"	M00021	"R00897,R03601,R04859"	"RC00020,RC02814,RC02821"	"ko00000,ko00001,ko00002,ko01000"	-	-	"iAF1260.b2414,iAPECO1_1312.APECO1_4131,iB21_1397.B21_02275,iBWG_1329.BWG_2176,iE2348C_1286.E2348C_2600,iEC042_1314.EC042_2623,iEC55989_1330.EC55989_2704,iECABU_c1320.ECABU_c27350,iECBD_1354.ECBD_1267,iECB_1328.ECB_02314,iECDH10B_1368.ECDH10B_2579,iECDH1ME8569_1439.ECDH1ME8569_2348,iECD_1391.ECD_02314,iECED1_1282.ECED1_2858,iECH74115_1262.ECH74115_3645,iECIAI1_1343.ECIAI1_2472,iECNA114_1301.ECNA114_2491,iECO103_1326.ECO103_2933,iECO111_1330.ECO111_3144,iECO26_1355.ECO26_3467,iECOK1_1307.ECOK1_2731,iECP_1309.ECP_2438,iECS88_1305.ECS88_2604,iECSE_1348.ECSE_2705,iECSF_1327.ECSF_2278,iECSP_1301.ECSP_3362,iECUMN_1333.ECUMN_2736,iECW_1372.ECW_m2643,iECs_1301.ECs3286,iEKO11_1354.EKO11_1314,iETEC_1333.ETEC_2527,iEcDH1_1363.EcDH1_1247,iEcHS_1320.EcHS_A2549,iEcSMS35_1347.EcSMS35_2569,iEcolC_1368.EcolC_1264,iG2583_1286.G2583_2946,iJO1366.b2414,iJR904.b2414,iLF82_1304.LF82_0418,iNRG857_1313.NRG857_12105,iSSON_1240.SSON_2503,iSbBS512_1146.SbBS512_E2766,iUMN146_1321.UM146_04550,iUMNK88_1353.UMNK88_3016,iUTI89_1310.UTI89_C2747,iWFL_1372.ECW_m2643,iY75_1357.Y75_RS12650,iZ_1308.Z3680"	PALP
WP_002913505.1	G	Phosphocarrier protein Hpr	ptsH	"GO:0003674,GO:0003824,GO:0005215,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005981,GO:0006109,GO:0006793,GO:0006796,GO:0006810,GO:0008047,GO:0008150,GO:0008152,GO:0008643,GO:0008965,GO:0008982,GO:0009401,GO:0009893,GO:0009894,GO:0009896,GO:0009987,GO:0010604,GO:0010675,GO:0010676,GO:0010906,GO:0010907,GO:0015144,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0016775,GO:0019197,GO:0019222,GO:0022804,GO:0022857,GO:0030234,GO:0031323,GO:0031325,GO:0031329,GO:0031331,GO:0032881,GO:0032991,GO:0034219,GO:0043085,GO:0043467,GO:0043470,GO:0043471,GO:0044093,GO:0044237,GO:0044424,GO:0044444,GO:0044464,GO:0045819,GO:0045913,GO:0048518,GO:0048522,GO:0050789,GO:0050790,GO:0050794,GO:0051179,GO:0051234,GO:0055085,GO:0060255,GO:0062012,GO:0062013,GO:0065007,GO:0065009,GO:0070873,GO:0070875,GO:0071702,GO:0080090,GO:0098772"	-	ko:K02784	"ko02060,map02060"	-	-	-	"ko00000,ko00001,ko02000"	8.A.8.1.1	-	"e_coli_core.b2415,iAF1260.b2415,iB21_1397.B21_02276,iBWG_1329.BWG_2177,iE2348C_1286.E2348C_2601,iEC042_1314.EC042_2624,iEC55989_1330.EC55989_2705,iECABU_c1320.ECABU_c27360,iECBD_1354.ECBD_1266,iECB_1328.ECB_02315,iECDH10B_1368.ECDH10B_2580,iECDH1ME8569_1439.ECDH1ME8569_2349,iECDH1ME8569_1439.EcDH1_1246,iECD_1391.ECD_02315,iECED1_1282.ECED1_2859,iECH74115_1262.ECH74115_3646,iECIAI1_1343.ECIAI1_2473,iECIAI39_1322.ECIAI39_2561,iECNA114_1301.ECNA114_2492,iECO103_1326.ECO103_2934,iECO111_1330.ECO111_3145,iECO26_1355.ECO26_3468,iECOK1_1307.ECOK1_2732,iECP_1309.ECP_2439,iECS88_1305.ECS88_2605,iECSE_1348.ECSE_2706,iECSF_1327.ECSF_2279,iECSP_1301.ECSP_3363,iECUMN_1333.ECUMN_2737,iECW_1372.ECW_m2644,iECs_1301.ECs3287,iEKO11_1354.EKO11_1313,iETEC_1333.ETEC_2528,iEcDH1_1363.EcDH1_1246,iEcE24377_1341.EcE24377A_2702,iEcHS_1320.EcHS_A2550,iEcSMS35_1347.EcSMS35_2570,iEcolC_1368.EcolC_1263,iG2583_1286.G2583_2947,iJO1366.b2415,iJR904.b2415,iLF82_1304.LF82_1769,iNRG857_1313.NRG857_12110,iPC815.YPO2993,iSBO_1134.SBO_2439,iSDY_1059.SDY_2612,iSFV_1184.SFV_2467,iSF_1195.SF2470,iSFxv_1172.SFxv_2719,iSSON_1240.SSON_2504,iS_1188.S2616,iSbBS512_1146.SbBS512_E2765,iUMN146_1321.UM146_04545,iUMNK88_1353.UMNK88_3017,iUTI89_1310.UTI89_C2749,iWFL_1372.ECW_m2644,iY75_1357.Y75_RS12655,iZ_1308.Z3681,ic_1306.c2950"	PTS-HPr
WP_002913506.1	G	General (non sugar-specific) component of the phosphoenolpyruvate-dependent sugar phosphotransferase system (sugar PTS). This major carbohydrate active-transport system catalyzes the phosphorylation of incoming sugar substrates concomitantly with their translocation across the cell membrane. Enzyme I transfers the phosphoryl group from phosphoenolpyruvate (PEP) to the phosphoryl carrier protein (HPr)	ptsI	"GO:0000287,GO:0003674,GO:0003824,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006810,GO:0008150,GO:0008643,GO:0008965,GO:0009401,GO:0016740,GO:0016772,GO:0016775,GO:0019197,GO:0032991,GO:0042802,GO:0043167,GO:0043169,GO:0044424,GO:0044444,GO:0044464,GO:0046872,GO:0051179,GO:0051234,GO:0071702"	2.7.3.9	ko:K08483	"ko02060,map02060"	-	-	-	"ko00000,ko00001,ko01000,ko02000"	8.A.7	-	"iB21_1397.B21_02277,iE2348C_1286.E2348C_2602,iEC042_1314.EC042_2625,iECBD_1354.ECBD_1265,iECB_1328.ECB_02316,iECD_1391.ECD_02316,iECH74115_1262.ECH74115_3647,iECIAI1_1343.ECIAI1_2474,iECIAI39_1322.ECIAI39_2562,iECO103_1326.ECO103_2935,iECO111_1330.ECO111_3146,iECO26_1355.ECO26_3469,iECP_1309.ECP_2440,iECSE_1348.ECSE_2707,iECSP_1301.ECSP_3364,iECUMN_1333.ECUMN_2738,iECW_1372.ECW_m2645,iECs_1301.ECs3288,iEKO11_1354.EKO11_1312,iEcE24377_1341.EcE24377A_2703,iEcHS_1320.EcHS_A2551,iEcSMS35_1347.EcSMS35_2571,iEcolC_1368.EcolC_1262,iLF82_1304.LF82_1770,iNRG857_1313.NRG857_12115,iSBO_1134.SBO_2440,iSDY_1059.SDY_2613,iSFV_1184.SFV_2468,iSF_1195.SF2471,iSFxv_1172.SFxv_2720,iSSON_1240.SSON_2505,iS_1188.S2617,iUMNK88_1353.UMNK88_3018,iWFL_1372.ECW_m2645,iZ_1308.Z3682"	"PEP-utilisers_N,PEP-utilizers,PEP-utilizers_C"
WP_002913617.1	K	Transcriptional regulators containing a DNA-binding HTH domain and an aminotransferase domain (MocR family) and their eukaryotic orthologs	ptsJ	-	-	-	-	-	-	-	-	-	-	-	"Aminotran_1_2,GntR"
WP_002913623.1	P	Part of the ABC transporter complex CysAWTP involved in sulfate thiosulfate import. Responsible for energy coupling to the transport system	cysA	"GO:0000166,GO:0003674,GO:0003824,GO:0005215,GO:0005488,GO:0005524,GO:0006810,GO:0006811,GO:0006820,GO:0008144,GO:0008150,GO:0008272,GO:0008509,GO:0015075,GO:0015103,GO:0015116,GO:0015318,GO:0015399,GO:0015405,GO:0015419,GO:0015698,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0022804,GO:0022857,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0034220,GO:0035639,GO:0036094,GO:0042623,GO:0042626,GO:0043167,GO:0043168,GO:0043225,GO:0043492,GO:0051179,GO:0051234,GO:0055085,GO:0072348,GO:0097159,GO:0097367,GO:0098656,GO:0098660,GO:0098661,GO:0099133,GO:1901265,GO:1901363,GO:1901682,GO:1902358"	3.6.3.25	ko:K02045	"ko00920,ko02010,map00920,map02010"	M00185	-	-	"ko00000,ko00001,ko00002,ko01000,ko02000"	"3.A.1.6.1,3.A.1.6.3"	-	"iE2348C_1286.E2348C_2607,iSSON_1240.SSON_2511"	"ABC_tran,TOBE_3"
WP_002913625.1	P	(ABC) transporter	cysW	"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944"	-	ko:K02047	"ko00920,ko02010,map00920,map02010"	M00185	-	-	"ko00000,ko00001,ko00002,ko02000"	"3.A.1.6.1,3.A.1.6.3"	-	iPC815.YPO3013	BPD_transp_1
WP_002913626.1	P	sulfate ABC transporter	cysT	"GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006820,GO:0008150,GO:0008272,GO:0015698,GO:0016020,GO:0044464,GO:0051179,GO:0051234,GO:0071944,GO:0072348"	-	ko:K02046	"ko00920,ko02010,map00920,map02010"	M00185	-	-	"ko00000,ko00001,ko00002,ko02000"	"3.A.1.6.1,3.A.1.6.3"	-	"iAPECO1_1312.APECO1_4122,iE2348C_1286.E2348C_2609,iECNA114_1301.ECNA114_2500,iECOK1_1307.ECOK1_2740,iECP_1309.ECP_2447,iECS88_1305.ECS88_2613,iECSF_1327.ECSF_2287,iLF82_1304.LF82_0425,iNRG857_1313.NRG857_12150,iSDY_1059.SDY_2620,iUMN146_1321.UM146_04505,iUTI89_1310.UTI89_C2757,iYL1228.KPN_02772"	BPD_transp_1
WP_002913628.1	P	Thiosulfate transporter subunit	cysP	"GO:0003674,GO:0005488,GO:0005575,GO:0005623,GO:0006790,GO:0006810,GO:0006811,GO:0006820,GO:0008150,GO:0008152,GO:0008272,GO:0009987,GO:0015698,GO:0015709,GO:0030288,GO:0030313,GO:0031975,GO:0036173,GO:0042597,GO:0043167,GO:0043168,GO:0043199,GO:0044237,GO:0044464,GO:0051179,GO:0051234,GO:0072348,GO:1901681"	-	ko:K02048	"ko00920,ko02010,map00920,map02010"	M00185	-	-	"ko00000,ko00001,ko00002,ko02000"	"3.A.1.6.1,3.A.1.6.3"	-	iECIAI39_1322.ECIAI39_2570	SBP_bac_11
WP_002913635.1	S	membrane	yfeZ	"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944"	-	-	-	-	-	-	-	-	-	-	DUF2919
WP_002913637.1	K	Belongs to the acetyltransferase family. YpeA subfamily	ypeA	-	-	-	-	-	-	-	-	-	-	-	Acetyltransf_1
WP_002913639.1	M	N-acetylmuramoyl-L-alanine amidase	amiA	"GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005623,GO:0008270,GO:0008745,GO:0016787,GO:0016810,GO:0016811,GO:0030288,GO:0030313,GO:0031975,GO:0042597,GO:0043167,GO:0043169,GO:0044464,GO:0046872,GO:0046914,GO:0061783"	3.5.1.28	ko:K01448	"ko01503,map01503"	M00727	R04112	"RC00064,RC00141"	"ko00000,ko00001,ko00002,ko01000,ko01011,ko03036"	-	-	-	Amidase_3
WP_002913642.1	K	transcriptional regulator	eutR	"GO:0003674,GO:0003824,GO:0006081,GO:0006082,GO:0006089,GO:0006139,GO:0006351,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009059,GO:0009438,GO:0009987,GO:0010467,GO:0016053,GO:0016070,GO:0016829,GO:0016835,GO:0016836,GO:0018130,GO:0019172,GO:0019243,GO:0019249,GO:0019438,GO:0019752,GO:0032774,GO:0032787,GO:0034641,GO:0034645,GO:0034654,GO:0042180,GO:0042182,GO:0043170,GO:0043436,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044260,GO:0044271,GO:0044281,GO:0044282,GO:0044283,GO:0046185,GO:0046394,GO:0046483,GO:0051596,GO:0061727,GO:0071704,GO:0072330,GO:0090304,GO:0097659,GO:1901360,GO:1901362,GO:1901575,GO:1901576,GO:1901615,GO:1901617"	-	ko:K04033	-	-	-	-	"ko00000,ko03000"	-	-	-	HTH_18
WP_002913719.1	CQ	Ethanolamine utilization protein eutN	eutN	"GO:0006950,GO:0006974,GO:0008150,GO:0009987,GO:0033554,GO:0050896,GO:0051716"	-	ko:K04028	-	-	-	-	ko00000	-	-	-	EutN_CcmL
WP_002913723.1	E	Cobalamin adenosyltransferase	eutT	-	2.5.1.17	ko:K04032	"ko00860,ko01100,map00860,map01100"	-	R01492	RC00533	"ko00000,ko00001,ko01000"	-	-	-	Cob_adeno_trans
WP_002913725.1	E	Ethanolamine utilization protein eutQ	eutQ	-	-	ko:K04030	-	-	-	-	ko00000	-	-	-	EutQ
WP_002913729.1	E	ethanolamine utilization protein	eutS	"GO:0003674,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0031469,GO:0031471,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044424,GO:0044464"	-	ko:K04031	-	-	-	-	ko00000	-	-	-	BMC
WP_002913731.1	C	Malic enzyme	maeB	"GO:0003674,GO:0003824,GO:0004470,GO:0004473,GO:0005488,GO:0008150,GO:0008152,GO:0016491,GO:0016614,GO:0016615,GO:0016616,GO:0030145,GO:0043167,GO:0043169,GO:0046872,GO:0046914,GO:0055114"	"1.1.1.38,1.1.1.40"	"ko:K00027,ko:K00029"	"ko00620,ko00710,ko01100,ko01120,ko01200,ko02020,map00620,map00710,map01100,map01120,map01200,map02020"	"M00169,M00172"	"R00214,R00216"	RC00105	"ko00000,ko00001,ko00002,ko01000"	-	-	-	"Malic_M,PTA_PTB,malic"
WP_002913754.1	L	GDP-mannose pyrophosphatase	nudK	"GO:0000287,GO:0003674,GO:0003824,GO:0005488,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0043167,GO:0043169,GO:0046872,GO:0052751"	3.6.1.45	"ko:K08077,ko:K12945"	-	-	-	-	"ko00000,ko01000"	-	-	"iLF82_1304.LF82_1537,iNRG857_1313.NRG857_12310,iUTI89_1310.UTI89_C2793,ic_1306.c2994"	NUDIX
WP_002913764.1	P	Belongs to the ArsC family	yffB	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0044424,GO:0044444,GO:0044464"	1.20.4.1	ko:K00537	-	-	-	-	"ko00000,ko01000"	-	-	-	ArsC
WP_002913768.1	S	UPF0370 protein	ypfN	-	-	-	-	-	-	-	-	-	-	-	UPF0370
WP_002913770.1	S	Phospholipase Carboxylesterase	ypfH	"GO:0003674,GO:0003824,GO:0016787,GO:0016788,GO:0052689"	-	ko:K06999	-	-	-	-	ko00000	-	-	-	Abhydrolase_2
WP_002913800.1	S	zinc metallopeptidase	ypfJ	-	-	ko:K07054	-	-	-	-	ko00000	-	-	-	Zn_peptidase
WP_002913801.1	F	Belongs to the SAICAR synthetase family	purC	"GO:0003674,GO:0003824,GO:0004639,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006163,GO:0006164,GO:0006188,GO:0006189,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009167,GO:0009168,GO:0009259,GO:0009260,GO:0009987,GO:0016874,GO:0016879,GO:0016881,GO:0018130,GO:0019438,GO:0019637,GO:0019693,GO:0034641,GO:0034654,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046040,GO:0046390,GO:0046483,GO:0055086,GO:0071704,GO:0072521,GO:0072522,GO:0090407,GO:1901135,GO:1901137,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576"	6.3.2.6	ko:K01923	"ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130"	M00048	R04591	"RC00064,RC00162"	"ko00000,ko00001,ko00002,ko01000"	-	-	"iAF1260.b2476,iB21_1397.B21_02330,iBWG_1329.BWG_2240,iE2348C_1286.E2348C_2713,iEC042_1314.EC042_2677,iEC55989_1330.EC55989_2759,iECABU_c1320.ECABU_c27880,iECBD_1354.ECBD_1213,iECB_1328.ECB_02368,iECDH10B_1368.ECDH10B_2642,iECDH1ME8569_1439.ECDH1ME8569_2402,iECDH1ME8569_1439.EcDH1_1193,iECD_1391.ECD_02368,iECED1_1282.ECED1_2911,iECH74115_1262.ECH74115_3698,iECIAI1_1343.ECIAI1_2527,iECNA114_1301.ECNA114_2561,iECO103_1326.ECO103_2988,iECO111_1330.ECO111_3199,iECO26_1355.ECO26_3522,iECOK1_1307.ECOK1_2784,iECP_1309.ECP_2490,iECS88_1305.ECS88_2658,iECSE_1348.ECSE_2760,iECSF_1327.ECSF_2329,iECSP_1301.ECSP_3415,iECUMN_1333.ECUMN_2789,iECW_1372.ECW_m2698,iECs_1301.ECs3338,iEKO11_1354.EKO11_1259,iETEC_1333.ETEC_2581,iEcDH1_1363.EcDH1_1193,iEcE24377_1341.EcE24377A_2757,iEcHS_1320.EcHS_A2607,iEcSMS35_1347.EcSMS35_2623,iEcolC_1368.EcolC_1200,iG2583_1286.G2583_2999,iJN746.PP_1240,iJO1366.b2476,iJR904.b2476,iLF82_1304.LF82_1775,iNRG857_1313.NRG857_12360,iSFV_1184.SFV_2521,iSF_1195.SF2519,iSFxv_1172.SFxv_2773,iS_1188.S2669,iSbBS512_1146.SbBS512_E2848,iUMNK88_1353.UMNK88_3071,iWFL_1372.ECW_m2698,iY75_1357.Y75_RS12925,iYL1228.KPN_02810,iZ_1308.Z3735"	SAICAR_synt
