strain_x,species,species_match,contig_count,N50,largest_contig,total_size,ambiguous_bases,QC_warnings,ST,virulence_score,resistance_score,num_resistance_classes,num_resistance_genes,Yersiniabactin,YbST,Colibactin,CbST,Aerobactin,AbST,Salmochelin,SmST,RmpADC,RmST,rmpA2,wzi,K_locus,K_type,K_locus_problems,K_locus_confidence,K_locus_identity,K_locus_missing_genes,O_locus,O_type,O_locus_problems,O_locus_confidence,O_locus_identity,O_locus_missing_genes,AGly_acquired,Col_acquired,Fcyn_acquired,Flq_acquired,Gly_acquired,MLS_acquired,Phe_acquired,Rif_acquired,Sul_acquired,Tet_acquired,Tgc_acquired,Tmt_acquired,Bla_acquired,Bla_inhR_acquired,Bla_ESBL_acquired,Bla_ESBL_inhR_acquired,Bla_Carb_acquired,Bla_chr,SHV_mutations,Omp_mutations,Col_mutations,Flq_mutations,truncated_resistance_hits,spurious_resistance_hits,Chr_ST,gapA,infB,mdh,pgi,phoE,rpoB,tonB,ybtS,ybtX,ybtQ,ybtP,ybtA,irp2,irp1,ybtU,ybtT,ybtE,fyuA,clbA,clbB,clbC,clbD,clbE,clbF,clbG,clbH,clbI,clbL,clbM,clbN,clbO,clbP,clbQ,iucA,iucB,iucC,iucD,iutA,iroB,iroC,iroD,iroN,rmpA,rmpD,rmpC,spurious_virulence_hits,ID,Assembly Name,geo_loc_name,collected_by,isolation_source,collection_date,strain_y,lat_lon,isolate_name_alias,identification method,host_sex,host_disease,host_age,host,culture_collection,isolate,host_disease_outcome,host_health_state,host_description,host_disease_stage,sample_type,sample_name,env_broad_scale,env_local_scale,env_medium,isol_growth_condt,locus_tag_prefix,num_replicons,project_name,ref_biomaterial,source_material_id,sub_species,type-material,fecal,genotype,host_tissue_sampled,env_package,investigation_type,Laboratory Host,Extraction Method,passage_history,Extraction Date,Passage Date,host_subject_id,pathotype,serotype,serovar,specimen_voucher,subgroup,subtype,ENA first public,ENA last update,ENA-CHECKLIST,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,broker name,note,panel_id,Bar Code No,sample_number,Panel_ID,encoded_traits,biomaterial_provider,depth,ontological term,ifsac_category,source_type,ENA-LAST-UPDATE,geographic location (region and locality),scientific_name,relative_week,collection_room,identified_by,host_taxid,sample_id,perturbation,rel_to_oxygen,study_id,wastewater_type,isolated by,attribute_package,PublicAccession,ProjectAccession,Species,Genus,sequenced_by,replicate,assembly_method,assembly_method_version,genome_coverage,sequencing_technology,filename,altitude,samp_size,temp,Acquisition,Sequencing facility,drug_usage,estimated_size,health_state,host_body_product,MLST,N/A,dermatology_disord,extrachrom_elements,alternate_ID,Meropenem resistant,authors,phenotype,beta_lactamase_family,carbapenemase,edta_inhibitor_tested,collecting_lab,biological_replicate,altitude_info,ENA-FIRST-PUBLIC,anonymized name,supplier_name,common name,geographic location (latitude),geographic location (longitude),ArrayExpress-SPECIES,subject id,description,environmental sample,sequencing method,wastewater/sludge environmental package,library construction method,In_List
GCF_022760615.1_ASM2276061v1_genomic,Klebsiella pneumoniae,strong,102,519446,1317097,5948579,no,-,ST147,3,1,10,15,-,0,-,0,iuc 3,25,-,0,-,0,-,wzi177,KL125,unknown (KL125),*,High,90.39%,,O3b,O3b,none,Very high,99.05%,,aac(3)-IV^;ant(2'')-Ia;aph(3')-Ia;armA,-,fosA3,qnrB4,-,mphE.v2;msrE,floR.v1*,-,sul1;sul2,tet(A).v1,-,dfrA12,DHA-1^,-,CTX-M-14,-,-,SHV-11^,35Q,-,-,GyrA-83I;ParC-80I,-,aadA8b?-75%;aph(4)-Ia?-77%;aph3-Ia.v1*?-44%,ST147,3,4,6,1,7,4,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,7,12,8,17,-,-,-,-,-,-,-,-,GCF_022760615_1,ASM2276061v1,China:Shanghai,Qinjinhong,missing,Jan-20,kp9226,31.22337 N 121.49295 E,,,,infection,,Homo sapiens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,redundant
GCF_022760675.1_ASM2276067v1_genomic,Klebsiella pneumoniae,strong,82,185286,318510,5248604,no,-,ST5731,0,0,0,0,-,0,-,0,-,0,-,0,-,0,-,wzi447,unknown (KL124),unknown (KL124),?-,None,94.93%,"KL124_13_wcuA,KL124_14_wcaL,KL124_17_wclK,KL124_18_rmlB,KL124_19_rmlA",OL13,O13,?-+,Good,92.04%,"OL13_01_rfbB,OL13_02_rfbA,OL13_09_glycosylhydrolase",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-1^,-,-,-,-,-,-,ST5731,2,1,1,2,16,4,337,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_022760675_1,ASM2276067v1,China:Shanghai,Pubingchun,missing,Aug-20,HC001KP5,31.22337 N 121.49295 E,,,,No,,Homo sapiens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,non redundant
GCF_022788805.1_ASM2278880v1_genomic,Klebsiella pneumoniae,strong,119,202384,518711,5376130,no,-,ST26,0,0,0,0,-,0,-,0,-,0,-,0,-,0,-,wzi84,KL28,K28,none,Very high,99.20%,,O1/O2v2,O2afg,none,Very high,99.48%,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-36,35Q,-,-,-,-,-,ST26,2,1,1,1,9,1,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_022788805_1,ASM2278880v1,Norway,missing,marine environment,2016,2016-1332,missing,,,,,,,,,,,,,Pure culture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,redundant
GCF_022788855.1_ASM2278885v1_genomic,Klebsiella pneumoniae,strong,50,331813,649344,5235030,no,-,ST1867,0,0,0,0,-,0,-,0,-,0,-,0,-,0,-,wzi95,KL123,unknown (KL123),*,High,94.98%,,O3b,O3b,none,Very high,98.79%,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-60,35Q,-,-,-,-,-,ST1867,2,3,2,35,1,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_022788855_1,ASM2278885v1,Norway,missing,marine environment,2016,2016-1395,missing,,,,,,,,,,,,,Pure culture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,non redundant
GCF_022788925.1_ASM2278892v1_genomic,Klebsiella pneumoniae,strong,117,233114,594896,5417554,no,-,ST2167,0,0,3,3,-,0,-,0,-,0,-,0,-,0,-,wzi100,KL10,K10,none,Very high,96.76%,,O3/O3a,O3/O3a,none,Very high,97.98%,,-,-,-,-,-,-,catII.2*,-,sul2,tet(D),-,-,-,-,-,-,-,SHV-11^,35Q,-,-,-,-,-,ST2167,2,9,2,1,13,1,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_022788925_1,ASM2278892v1,Norway,missing,marine environment,2016,2016-1198,missing,,,,,,,,,,,,,Pure culture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,redundant
GCF_022788955.1_ASM2278895v1_genomic,Klebsiella pneumoniae,strong,85,243856,408993,5273529,no,-,ST1920,0,0,0,0,-,0,-,0,-,0,-,0,-,0,-,wzi275,KL38,K38,*,Very high,96.46%,,O12,O12,none,Very high,98.08%,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-11^,35Q,-,-,-,-,-,ST1920,2,1,1,6,9,4,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_022788955_1,ASM2278895v1,Norway,missing,marine environment,2016,2016-1072,missing,,,,,,,,,,,,,Pure culture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,redundant
GCF_022789065.1_ASM2278906v1_genomic,Klebsiella pneumoniae,strong,98,319629,763723,5425344,no,-,ST5696,0,0,0,0,-,0,-,0,-,0,-,0,-,0,-,wzi31,KL31,K31,?-,Good,99.48%,KL31_02_cpsACP,O1/O2v1,O2a,none,Very high,98.61%,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-26,-,-,-,-,-,-,ST5696,2,1,6,75,9,7,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_022789065_1,ASM2278906v1,Norway,Fredrik Hakonsholm,marine environment,2020,2020-680-2,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,redundant
GCF_022789085.1_ASM2278908v1_genomic,Klebsiella pneumoniae,strong,40,430346,959162,5047249,no,-,ST5676,0,0,0,0,-,0,-,0,-,0,-,0,-,0,-,-,KL13,K13,?-+,Good,98.81%,"KL13_17_manC,KL13_18_manB",O3/O3a,O3/O3a,?-*,Good,95.53%,"O3/O3a_01_manC,O3/O3a_02_manB",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-1,-,-,-,-,-,-,ST5676,5,5,210,1,7,4,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_022789085_1,ASM2278908v1,Norway,Fredrik Hakonsholm,marine environment,2020,2020-634-2,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,non redundant
GCF_022789105.1_ASM2278910v1_genomic,Klebsiella pneumoniae,strong,49,346013,474208,5377288,no,-,ST1026,0,0,0,0,-,0,-,0,-,0,-,0,-,0,-,wzi42,KL42,K42,none,Very high,99.82%,,O4,O4,none,Very high,99.95%,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-206*,-,-,-,-,-,-,ST1026,2,1,2,35,10,24,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_022789105_1,ASM2278910v1,Norway,Fredrik Hakonsholm,marine environment,2020,2020-440,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,redundant
GCF_022789125.1_ASM2278912v1_genomic,Klebsiella pneumoniae,strong,93,293484,618374,5255856,no,-,ST337,0,0,0,0,-,0,-,0,-,0,-,0,-,0,-,wzi396,KL174,unknown (KL174),none,Very high,99.96%,,O1/O2v2,O2afg,none,Very high,96.59%,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-11^,35Q,-,-,-,-,-,ST337,2,1,11,1,1,1,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_022789125_1,ASM2278912v1,Norway,Fredrik Hakonsholm,marine environment,2020,2020-584-2,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,redundant
GCF_022789185.1_ASM2278918v1_genomic,Klebsiella pneumoniae,strong,110,326321,775853,5502029,no,-,ST643,0,0,0,0,-,0,-,0,-,0,-,0,-,0,-,wzi149,KL62,K62,?-,Good,99.33%,KL62_12,O1/O2v2,O2afg,none,Very high,98.48%,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-26,-,-,-,-,-,-,ST643,2,3,6,75,9,7,137,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_022789185_1,ASM2278918v1,Norway,Fredrik Hakonsholm,marine environment,2020,2020-428,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,redundant
GCF_022789205.1_ASM2278920v1_genomic,Klebsiella pneumoniae,strong,273,160238,538428,5844074,no,-,ST3041,0,0,0,0,-,0,-,0,-,0,-,0,-,0,-,wzi273,KL30,K30,?*,Good,96.45%,,O1/O2v2,O2afg,none,Very high,99.49%,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-14^,-,-,-,-,-,-,ST3041,2,1,1,1,9,1,89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_022789205_1,ASM2278920v1,Norway,Fredrik Hakonsholm,marine environment,2020,2020-314,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,redundant
GCF_022789215.1_ASM2278921v1_genomic,Klebsiella pneumoniae,strong,49,362150,806499,5234298,no,-,ST1644,0,0,0,0,-,0,-,0,-,0,-,0,-,0,-,wzi354,KL114,unknown (KL114),none,Very high,99.17%,,O3b,O3b,none,Very high,98.68%,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-11^,35Q,-,-,-,-,-,ST1644,2,95,2,3,1,4,274,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_022789215_1,ASM2278921v1,Norway,Fredrik Hakonsholm,marine environment,2020,2020-375,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,non redundant
GCF_022789285.1_ASM2278928v1_genomic,Klebsiella pneumoniae,strong,114,217539,563755,5472053,no,-,ST416,0,0,0,0,-,0,-,0,-,0,-,0,-,0,-,wzi273,KL30,K30,*,Very high,96.45%,,O1/O2v2,O2afg,none,Very high,99.49%,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-14^,-,-,-,-,-,-,ST416,2,38,1,1,7,4,89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_022789285_1,ASM2278928v1,Norway,Fredrik Hakonsholm,marine environment,2020,2020-114,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,non redundant
GCF_022789385.1_ASM2278938v1_genomic,Klebsiella pneumoniae,strong,157,136231,402488,5514642,no,-,ST240,0,0,0,0,-,0,-,0,-,0,-,0,-,0,-,wzi12,KL112,unknown (KL112),none,Very high,99.12%,,O1/O2v2,O2afg,none,Very high,98.52%,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-36,35Q,-,-,-,-,-,ST240,2,1,1,1,17,1,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_022789385_1,ASM2278938v1,Norway,Fredrik Hakonsholm,marine environment,2019,2019-2063-2,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,redundant
GCF_022789505.1_ASM2278950v1_genomic,Klebsiella pneumoniae,strong,44,348146,975534,5451173,no,-,ST3403,1,0,0,0,ybt 16; ICEKp12,277-4LV,-,0,-,0,-,0,-,0,-,wzi547,KL43,K43,-,Good,97.08%,KL43_15_wcpZ,O1/O2v1,O2a,none,Very high,97.79%,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-11^,35Q,-,-,-,-,-,ST3403,2,1,2,1,12,1,62,6,15,5,4,11,509,617,2,11,169,307,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,iroC_49*-0%;iroN_19*-43%,GCF_022789505_1,ASM2278950v1,Norway,Fredrik Hakonsholm,marine environment,2019,2019-1898,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,non redundant
GCF_022789525.1_ASM2278952v1_genomic,Klebsiella pneumoniae,strong,106,207072,444443,5487499,no,-,ST4267,0,0,1,1,-,0,-,0,-,0,-,0,-,0,-,-,unknown (KL176),unknown (KL176),?-+*,None,77.67%,"KL176_02_cpsACP,KL176_03,KL176_08_wzb,KL176_09_wzc,KL176_10,KL176_11_wzy,KL176_12,KL176_13,KL176_14_wbaZ,KL176_15_wcaJ",OL102,unknown (OL102),*,High,93.12%,,-,-,-,-,-,-,-,-,-,tet(A).v1,-,-,-,-,-,-,-,SHV-1,-,-,-,-,-,-,ST4267,2,1,5,1,7,4,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_022789525_1,ASM2278952v1,Norway,Fredrik Hakonsholm,marine environment,2019,2019-1792,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,redundant
GCF_022789625.1_ASM2278962v1_genomic,Klebsiella pneumoniae,strong,48,396199,709994,5058122,no,-,ST200,0,0,0,0,-,0,-,0,-,0,-,0,-,0,-,wzi493,KL139,unknown (KL139),?-,Good,98.42%,KL139_17_manC,O3b,O3b,?-,Good,99.67%,O3b_01_manC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-1^,-,-,-,-,-,-,ST200,2,1,2,1,12,1,68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_022789625_1,ASM2278962v1,Norway,Fredrik Hakonsholm,marine environment,2019,2019-1765,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,redundant
GCF_022789665.1_ASM2278966v1_genomic,Klebsiella pneumoniae,strong,112,199716,421373,5385273,no,-,ST253,0,0,0,0,-,0,-,0,-,0,-,0,-,0,-,wzi335,KL9,K9,?,Good,98.46%,,O1/O2v1,O2a,none,Very high,97.72%,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-36,35Q,-,-,-,-,-,ST253,2,1,1,1,9,1,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_022789665_1,ASM2278966v1,Norway,Fredrik Hakonsholm,marine environment,2019,2019-1718,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,redundant
GCF_022789705.1_ASM2278970v1_genomic,Klebsiella pneumoniae,strong,59,355506,925835,5187657,no,-,ST404,0,0,0,0,-,0,-,0,-,0,-,0,-,0,-,wzi150,KL183,unknown (KL183),*,Very high,95.10%,,OL103,unknown (OL103),*,High,94.67%,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-11^,35Q,-,-,-,-,-,ST404,2,1,2,1,12,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_022789705_1,ASM2278970v1,Norway,Fredrik Hakonsholm,marine environment,2019,2019-1499,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,non redundant
GCF_022789765.1_ASM2278976v1_genomic,Klebsiella pneumoniae,strong,82,205016,520034,5518626,no,-,ST416,0,0,0,0,-,0,-,0,-,0,-,0,-,0,-,wzi273,KL30,K30,?-*,Good,96.49%,KL30_15_wcuG,O1/O2v2,O2afg,none,Very high,99.49%,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-14^,-,-,-,-,-,-,ST416,2,38,1,1,7,4,89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_022789765_1,ASM2278976v1,Norway,Fredrik Hakonsholm,marine environment,2019,2019-1444,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,redundant
GCF_022789785.1_ASM2278978v1_genomic,Klebsiella pneumoniae,strong,159,200055,484153,5556888,no,-,ST253,0,0,0,0,-,0,-,0,-,0,-,0,-,0,-,wzi25,KL25,K25,?-,Good,99.83%,KL25_09_wfeD,O1/O2v2,O2afg,none,Very high,99.39%,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-36,35Q,-,-,-,-,-,ST253,2,1,1,1,9,1,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_022789785_1,ASM2278978v1,Norway,Fredrik Hakonsholm,marine environment,2019,2019-1435-2,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,redundant
GCF_022789805.1_ASM2278980v1_genomic,Klebsiella pneumoniae,strong,66,335234,473223,5259304,no,-,ST3157,0,0,0,0,-,0,-,0,-,0,-,0,-,0,-,wzi273,KL30,K30,?*,Good,96.45%,,O1/O2v2,O2afg,none,Very high,99.49%,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-14^,-,-,-,-,-,-,ST3157,2,1,1,1,7,1,89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_022789805_1,ASM2278980v1,Norway,Fredrik Hakonsholm,marine environment,2019,2019-1417-2,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,redundant
GCF_022789825.1_ASM2278982v1_genomic,Klebsiella pneumoniae,strong,48,372709,720307,5320448,no,-,ST866,1,0,0,0,ybt 18; ICEKp15,400-1LV,-,0,-,0,-,0,-,0,-,wzi478,KL46,K46,none,Very high,98.64%,,O3b,O3b,none,Very high,99.09%,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-11^,35Q,-,-,-,-,-,ST866,2,9,2,1,1,1,4,21,21,99,105,67,510,606,17,1,5,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_022789825_1,ASM2278982v1,Norway,Fredrik Hakonsholm,marine environment,2019,2019-1349,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,redundant
GCF_022789885.1_ASM2278988v1_genomic,Klebsiella pneumoniae,strong,90,348839,775326,5407911,no,-,ST1083,0,0,0,0,-,0,-,0,-,0,-,0,-,0,-,wzi462,unknown (KL107),unknown (KL107),?-+*,None,84.95%,"KL107_05_wzb,KL107_06_wzc,KL107_07_wbaP,KL107_08,KL107_09,KL107_10,KL107_11_gnd,KL107_12,KL107_13,KL107_14,KL107_15",O1/O2v1,O2a,none,Very high,98.70%,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-11^,35Q,-,-,-,-,-,ST1083,2,1,2,1,13,1,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_022789885_1,ASM2278988v1,Norway,Fredrik Hakonsholm,marine environment,2019,2019-400-2,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,redundant
