Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,kpref
allC,allC;,allantoate deiminase;hypothetical protein,54,55,1.0185185185185186,1,2417,,,,384,1236,1205.3454545454545,Kp_01222
dnaB_2~~~dnaB_3~~~dnaB_1,dnaB_2;dnaB_3;dnaB_1,replicative DNA helicase,111,113,1.018018018018018,1,2418,,,,825,1380,1369.646017699115,
group_1826,,hypothetical protein,123,123,1.0,1,2423,,,,156,570,566.6341463414634,
group_1828,,hypothetical protein,306,349,1.1405228758169934,1,2425,,,,192,942,799.9942693409743,
group_1831,,hypothetical protein;Secretory lipase,153,153,1.0,1,2429,,,,300,1134,977.1372549019608,
murJ_1~~~murJ_2~~~murJ_3,murJ_1;murJ_2;murJ_3,lipid II flippase MurJ;Lipid II flippase MurJ,41,41,1.0,1,2430,,,,1233,1986,1446.0,
group_1840,,hypothetical protein,23,23,1.0,1,2443,,,,1035,1035,1035.0,
group_1841,,hypothetical protein,100,100,1.0,1,2444,,,,249,297,293.58,
group_1842,,hypothetical protein,166,188,1.1325301204819278,1,2445,,,,99,612,344.8858695652174,
group_1843,,DUF6392 family protein;Family of unknown function (DUF6392),649,1093,1.6841294298921416,1,2448,,,,126,603,352.228021978022,
group_1847,,"hypothetical protein;AAA domain;""""",160,169,1.05625,1,2452,,,,210,3357,2856.988023952096,
astD_2~~~astD_3,astD_2;astD_3,succinylglutamate-semialdehyde dehydrogenase,49,49,1.0,1,2455,,,,1500,1500,1500.0,
urtA_2~~~urtA_3,urtA_2;urtA_3,urea ABC transporter substrate-binding protein,159,159,1.0,1,2457,,,,843,1281,1269.9811320754718,
urtC_2,urtC_2,urea ABC transporter permease subunit UrtC,161,161,1.0,1,2458,,,,702,1116,1111.7142857142858,
group_1853,,"hypothetical protein;Acyltransferase family;""""",27,27,1.0,1,2466,,,,576,1008,911.181818181818,
group_1860,,hypothetical protein,47,47,1.0,1,2473,,,,891,1281,1264.404255319149,
group_1862,,hypothetical protein,53,53,1.0,1,2477,,,,525,525,525.0,
group_1866,,Winged helix-turn-helix DNA-binding,47,47,1.0,1,2484,,,,273,273,273.0,
speB_1~~~speB_2,speB_1;speB_2;,agmatinase;hypothetical protein,1354,1355,1.000738552437223,1,2485,,,,327,951,949.2341211225996,Kp_03755
group_1868,,hypothetical protein,38,38,1.0,1,2489,,,,855,870,860.921052631579,
group_1871,,hypothetical protein,119,119,1.0,1,2494,,,,315,315,315.0,
cobT~~~cobT_1~~~cobT_2~~~cobT_3,;cobT;cobT_1;cobT_2;cobT_3,hypothetical protein;nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase,58,63,1.0862068965517242,1,2507,,,,132,1092,759.0,
group_1885,,hypothetical protein,41,41,1.0,1,2514,,,,306,312,311.85,
group_1888,,SIS domain-containing protein,802,804,1.0024937655860349,1,2517,,,,273,1062,1059.261194029851,Kp_01309
group_1889,,hypothetical protein,27,27,1.0,1,2518,,,,732,951,893.3333333333334,
group_1891,,hypothetical protein;DEAD/DEAH box helicase,40,41,1.025,1,2521,,,,573,6342,5972.25,
group_1893,,hypothetical protein,120,120,1.0,1,2523,,,,309,315,314.79661016949154,
group_1895,,hypothetical protein;Protein of unknown function (DUF3304),129,129,1.0,1,2525,,,,294,759,527.4609375,
group_1896,,NCBIFAM: retron Ec48 family effector membrane protein,17,17,1.0,1,2526,,,,702,702,702.0,
group_1898,,hypothetical protein;AAA domain,95,95,1.0,1,2529,,,,468,876,868.8,
group_1899,,MdtP family multidrug efflux transporter outer membrane subunit;hypothetical protein,142,142,1.0,1,2531,,,,246,1560,258.4225352112676,
group_1900,,sodium:solute symporter family protein,303,319,1.0528052805280528,1,2532,,,,270,1485,1399.7115987460816,
group_1902,,hypothetical protein,132,132,1.0,1,2536,,,,132,1521,1343.0681818181818,
group_1912,,small membrane protein,1359,1359,1.0,1,2548,,,,123,144,140.95329873980725,Kp_03306
dctM_1~~~dctM_2~~~siaT~~~dctM,dctM_1;dctM_2;siaT;dctM,C4-dicarboxylate TRAP transporter large permease protein DctM;Sialic acid TRAP transporter permease protein SiaT,149,153,1.0268456375838926,1,2559,,,,378,1302,1262.7434210526317,
group_1923,,hypothetical protein,29,30,1.0344827586206895,1,2560,,,,1044,3072,2958.3,
group_1925,,hypothetical protein,38,39,1.0263157894736843,1,2562,,,,453,903,878.9230769230769,
group_1926,,hypothetical protein,46,46,1.0,1,2563,,,,336,354,350.7692307692308,
group_1928,,hypothetical protein,136,136,1.0,1,2567,,,,576,597,594.9044117647059,
group_1931,,hypothetical protein,49,49,1.0,1,2570,,,,480,1290,964.6875,
group_1932,,hypothetical protein,155,155,1.0,1,2571,,,,303,435,316.012987012987,
group_1933,,hypothetical protein,51,51,1.0,1,2572,,,,216,228,221.28,
group_1934,,FGGY-family carbohydrate kinase;hypothetical protein,1063,1070,1.006585136406397,1,2574,,,,258,1551,1489.9325842696628,Kp_02446
group_1937,,hypothetical protein,86,86,1.0,1,2577,,,,351,372,367.9024390243902,
group_1940,,ABC transporter ATP-binding protein,294,294,1.0,1,2580,,,,681,1029,1027.2142857142858,Kp_01774
add_2,add_2;,adenosine deaminase;hypothetical protein,110,111,1.009090909090909,1,2582,,,,243,1185,1101.108108108108,
group_1942,,hypothetical protein,54,54,1.0,1,2584,,,,249,357,352.9245283018868,
mntH,mntH;,Divalent metal cation transporter MntH;hypothetical protein;Natural resistance-associated macrophage protein,136,138,1.0147058823529411,1,2588,,,,276,1290,1263.9782608695652,
group_1945,,hypothetical protein,45,45,1.0,1,2589,,,,618,1023,999.6,
group_1949,,hypothetical protein,61,61,1.0,1,2594,,,,849,849,849.0,
group_1950,,hypothetical protein,190,191,1.0052631578947369,1,2595,,,,483,828,569.5333333333333,
group_1951,,type II toxin-antitoxin system HicB family antitoxin,177,180,1.0169491525423728,1,2598,,,,102,360,246.9,Kp_04612
thiM~~~thiM_1~~~thiM_2,thiM;thiM_1;thiM_2,hydroxyethylthiazole kinase,1395,1396,1.000716845878136,1,2604,,,,192,924,778.2835606604451,Kp_03334
group_1954,,hypothetical protein,22,22,1.0,1,2607,,,,555,1284,1213.142857142857,
group_1955,,hypothetical protein,41,41,1.0,1,2608,,,,192,192,192.0,
group_1956,,hypothetical protein;glycosyltransferase family 4 protein,41,42,1.024390243902439,1,2609,,,,147,1149,1094.2857142857142,
ygjK,ygjK,Glucosidase YgjK,93,93,1.0,1,2620,,,,2352,2352,2352.0,
smc,;smc,"hypothetical protein;Putative phage tail protein;"""";Domain of unknown function (DUF1983);Chromosome partition protein Smc",46,48,1.0434782608695652,1,2623,,,,804,12072,8732.18918918919,
group_1966,,hypothetical protein,48,48,1.0,1,2628,,,,687,828,821.4375,
group_1970,,hypothetical protein,49,49,1.0,1,2632,,,,135,135,135.0,
group_1976,,hypothetical protein,75,75,1.0,1,2640,,,,180,258,257.5094339622641,
group_1979,,hypothetical protein,99,99,1.0,1,2645,,,,270,270,270.0,
group_1983,,hypothetical protein,91,91,1.0,1,2651,,,,270,270,270.0,
manX_1~~~manX_2,manX_1;manX_2;,PTS mannose transporter subunit IIAB;hypothetical protein,707,710,1.0042432814710045,1,2659,,,,90,495,491.6366197183099,
group_1992,,Phage tail assembly chaperone TAC,104,104,1.0,1,2663,,,,261,384,357.4660194174757,
group_1994,,hypothetical protein;Lambda phage tail tape-measure protein (Tape_meas_lam_C);JCVI: phage tail tape measure protein,114,115,1.0087719298245614,1,2665,,,,582,2448,2353.189189189189,
group_1998,,hypothetical protein,63,63,1.0,1,2669,,,,132,204,201.75,
group_1999,,phage holin family protein,72,72,1.0,1,2672,,,,279,282,280.6666666666667,
group_2000,,phage holin family protein,80,80,1.0,1,2673,,,,396,396,396.0,
frlD_2~~~frlD~~~frlD_1,frlD_2;frlD;frlD_1,Fructosamine kinase FrlD,635,637,1.003149606299213,1,2677,,,,201,834,830.3877551020408,
group_2003,,SIS domain-containing protein;hypothetical protein,637,640,1.0047095761381477,1,2678,,,,174,975,967.1390625,
group_2005,,Bacteriophage CII protein;hypothetical protein,88,88,1.0,1,2680,,,,201,285,283.875,
group_2009,,hypothetical protein,56,56,1.0,1,2686,,,,99,102,100.14545454545454,
group_2010,,hypothetical protein,49,50,1.020408163265306,1,2687,,,,213,1167,1129.56,
group_2013,,hypothetical protein,60,60,1.0,1,2691,,,,204,213,212.71875,
group_2018,,hypothetical protein,80,80,1.0,1,2699,,,,459,861,847.575,
group_2022,,RES domain,39,39,1.0,1,2704,,,,1029,1029,1029.0,
group_2030,,NCBIFAM: excisionase Xis;hypothetical protein,41,41,1.0,1,2713,,,,201,276,274.1707317073171,
group_2031,,Methyltransferase domain,38,38,1.0,1,2714,,,,489,489,489.0,
group_2033,,GNAT family N-acetyltransferase,649,649,1.0,1,2716,,,,399,510,484.6548536209553,Kp_04161
group_2034,,NCBIFAM: IS481 family transposase;hypothetical protein;Integrase core domain,79,81,1.0253164556962024,1,2717,,,,426,1308,1043.9565217391305,
group_2035,,hypothetical protein;Protein of unknown function (DUF2560),32,32,1.0,1,2719,,,,237,246,245.71875,
group_2036,,hypothetical protein,50,50,1.0,1,2722,,,,180,378,374.04,
bdcA_2~~~bdcA_1~~~bdcA,bdcA_2;bdcA_1;;bdcA,SDR family oxidoreductase;hypothetical protein,1371,2741,1.99927060539752,1,2727,,,,135,1317,601.4337832907698,Kp_02155;Kp_02156
group_2039,,type II toxin-antitoxin system VapC family toxin,1394,1399,1.0035868005738882,1,2732,,,,144,384,382.0378842030021,Kp_00039
group_2040,,Acetyltransferase (GNAT) domain;hypothetical protein,465,465,1.0,1,2734,,,,216,477,472.6472148541114,
group_2041,,AraC family transcriptional regulator;hypothetical protein,158,159,1.0063291139240509,1,2735,,,,270,927,921.0566037735848,
group_2043,,MT-A70;hypothetical protein,155,156,1.0064516129032255,1,2737,,,,99,870,590.8451612903226,
group_2045,,hypothetical protein,1358,1358,1.0,1,2739,,,,225,228,226.65265486725664,Kp_02515
gpmB_2,gpmB_2;,23-diphosphoglycerate-dependent phosphoglycerate mutase GpmB;hypothetical protein,860,860,1.0,1,2740,,,,144,915,150.85664335664336,
group_2047,,SUMF1/EgtB/PvdO family nonheme iron enzyme;hypothetical protein,578,586,1.013840830449827,1,2742,,,,93,900,752.598627787307,
group_2049,,Putative bacterial toxin ydaT;hypothetical protein,195,195,1.0,1,2745,,,,261,537,532.2216494845361,
group_2051,,hypothetical protein;NCBIFAM: DNZ54_00345 family phage region protein,65,65,1.0,1,2747,,,,336,378,377.34375,
group_2053,,hypothetical protein;Bacterial protein of unknown function (DUF977),18,18,1.0,1,2749,,,,225,378,275.6666666666667,
group_2054,dnaT_2;;dnaT_1,primosomal protein DnaT;Replication protein P;hypothetical protein,110,111,1.009090909090909,1,2751,,,,228,1476,793.3783783783783,
group_2057,,DUF2857 domain-containing protein,93,93,1.0,1,2755,,,,585,585,585.0,
group_2059,,hypothetical protein,92,92,1.0,1,2758,,,,312,312,312.0,
group_2060,,Phage holin family 2;hypothetical protein,120,120,1.0,1,2759,,,,291,291,291.0,
group_2067,,Rpn family recombination-promoting nuclease/putative transposase,57,62,1.087719298245614,1,2768,,,,186,1176,479.8064516129032,
group_2068,,transporter substrate-binding domain-containing protein,139,145,1.0431654676258992,1,2770,,,,624,3708,3493.7172413793105,
group_2069,,NmrA/HSCARG family protein;hypothetical protein,1375,1392,1.0123636363636364,1,2771,,,,156,1770,900.5805054151624,Kp_02165
group_2070,,Ogr/Delta-like zinc finger,111,111,1.0,1,2772,,,,219,219,219.0,
group_2072,,hypothetical protein,65,65,1.0,1,2774,,,,432,435,434.5384615384616,
group_2074,,hypothetical protein,486,486,1.0,1,2776,,,,159,573,465.4329896907216,
group_2075,,hypothetical protein,36,36,1.0,1,2777,,,,312,312,312.0,
cas6e~~~cas6e_1~~~cas6e_2,cas6e;cas6e_1;cas6e_2,type I-E CRISPR-associated protein Cas6/Cse3/CasE,158,159,1.0063291139240509,1,2780,,,,192,648,643.8679245283018,Kp_02819
group_2078,,hypothetical protein;MFS transporter;M20 aminoacylase family protein,225,421,1.8711111111111112,1,2782,,,,102,2376,1128.5264423076924,
group_2083,,hypothetical protein;NCBIFAM: ISNCY family transposase,395,395,1.0,1,2787,,,,168,594,327.82784810126583,
group_2085,,NCBIFAM: ISNCY family transposase;hypothetical protein,424,426,1.0047169811320755,1,2789,,,,219,711,554.8085106382979,
group_2089,,hypothetical protein,100,100,1.0,1,2793,,,,174,198,194.64,
group_2094,,LysR family transcriptional regulator;hypothetical protein,1377,1401,1.017429193899782,1,2799,,,,105,921,879.9507494646681,Kp_02491
group_2095,,hypothetical protein,128,128,1.0,1,2800,,,,186,225,224.6803278688525,
group_2096,,Putative 3TM holin Phage_holin_3;phage holin family protein;hypothetical protein,148,148,1.0,1,2801,,,,294,306,305.7364864864865,
group_2106,,AAA family ATPase,20,20,1.0,1,2814,,,,1026,1026,1026.0,
group_2110,,hypothetical protein,80,81,1.0125,1,2819,,,,117,888,840.8354430379746,
group_2113,,hypothetical protein,56,56,1.0,1,2823,,,,249,312,310.875,
cynR_2~~~oxyR_1,;cynR_2;oxyR_1,LysR family transcriptional regulator;Bacterial regulatory helix-turn-helix protein lysR family;HTH-type transcriptional regulator CynR;DNA-binding transcriptional regulator OxyR,184,185,1.0054347826086956,1,2828,,,,198,885,875.2010869565217,
group_2120,,hypothetical protein;GGDEF domain-containing protein;Cache domain,117,119,1.017094017094017,1,2836,,,,255,1575,1459.7064220183486,
group_2125,,aromatic alcohol reductase,1374,1377,1.002183406113537,1,2841,,,,132,1113,925.4106104651164,Kp_02161
mdcB~~~citG,mdcB;citG;,2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase;triphosphoribosyl-dephospho-CoA synthase,417,422,1.0119904076738608,1,2842,,,,249,879,863.0736342042755,
ykfF~~~ykfF_2~~~ykfF_3,ykfF;ykfF_2;ykfF_3,UPF0401 protein YkfF,55,55,1.0,1,2843,,,,234,234,234.0,
group_2126,,Phage spike trimer;hypothetical protein,121,121,1.0,1,2844,,,,441,753,669.3471074380166,
cas1e_1~~~cas1e_2~~~cas1e,cas1e_1;cas1e_2;cas1e,type I-E CRISPR-associated endonuclease Cas1e,158,160,1.0126582278481011,1,2845,,,,261,876,864.1875,Kp_02816
group_2133,,NCBI Protein Cluster (PRK): conjugal transfer transcriptional regulator TraJ,82,82,1.0,1,2854,,,,696,696,696.0,
group_2134,,hypothetical protein,47,47,1.0,1,2855,,,,507,507,507.0,
group_2141,,hypothetical protein,68,68,1.0,1,2863,,,,378,864,835.4558823529412,
leuC_1,leuC_1,3-isopropylmalate dehydratase large subunit,32,32,1.0,1,2865,,,,2286,2286,2286.0,
mrkB_1~~~mrkB_2,mrkB_1;mrkB_2;,type 3 fimbria chaperone MrkB;Pili assembly chaperone PapD C-terminal domain,326,326,1.0,1,2867,,,,345,765,754.7815384615385,
group_2144,,hypothetical protein,318,320,1.0062893081761006,1,2868,,,,183,885,831.4125,
dinG_2~~~dinG_1~~~polC,dinG_2;dinG_1;;polC,3'-5' exonuclease DinG;hypothetical protein;DNA polymerase III PolC-type,125,125,1.0,1,2870,,,,489,609,555.508064516129,
group_2147,,hypothetical protein,75,75,1.0,1,2873,,,,237,777,759.76,
urtA_2,;urtA_2,hypothetical protein;urea ABC transporter substrate-binding protein,294,294,1.0,1,2884,,,,657,1128,1124.876712328767,
group_2162,,hypothetical protein,138,138,1.0,1,2893,,,,429,1020,989.6739130434784,
rbsR_2,rbsR_2,ribose operon transcriptional repressor RbsR,137,137,1.0,1,2896,,,,1023,1023,1023.0,
group_2167,,hypothetical protein,39,39,1.0,1,2900,,,,291,381,376.38461538461536,
group_2169,,hypothetical protein,60,60,1.0,1,2903,,,,225,372,351.35,
group_2174,,hypothetical protein,43,43,1.0,1,2911,,,,426,426,426.0,
group_2180,,DUF3158 family protein,15,15,1.0,1,2923,,,,426,432,426.4,Kp_00575
group_2184,,hypothetical protein,42,42,1.0,1,2927,,,,726,726,726.0,
group_2189,,hypothetical protein,52,52,1.0,1,2934,,,,486,486,486.0,
group_2190,,hypothetical protein,57,57,1.0,1,2935,,,,183,216,188.47368421052636,
group_2193,,hypothetical protein;P2 phage tail completion protein R (GpR),199,199,1.0,1,2943,,,,147,468,466.38693467336685,
group_2197,,Putative hydro-lyase PSPTO_5379,86,87,1.0116279069767442,1,2947,,,,312,807,797.7586206896551,
fabG_1~~~fabG_4,fabG_1;;fabG_4,3-oxoacyl-ACP reductase FabG;short chain dehydrogenase,118,118,1.0,1,2948,,,,261,807,799.3846153846154,
group_2203,,hypothetical protein,90,91,1.011111111111111,1,2954,,,,168,1311,971.868131868132,
group_2204,,ParB/RepB/Spo0J family partition protein,56,56,1.0,1,2956,,,,450,786,768.9642857142857,
group_2211,,DeoR/GlpR family DNA-binding transcription regulator,1058,1062,1.003780718336484,1,2966,,,,177,801,794.8275212064091,Kp_02444
group_2215,,hypothetical protein,239,323,1.3514644351464435,1,2970,,,,132,2469,623.4782608695652,
group_2218,,FGGY-family carbohydrate kinase,623,627,1.0064205457463884,1,2973,,,,378,1539,1525.5167464114832,Kp_00996
group_2219,,Phage tail protein (Tail_P2_I);hypothetical protein;BspA type Leucine rich repeat region (6 copies),206,210,1.019417475728155,1,2975,,,,486,3516,2879.4142857142856,
group_2231,,hypothetical protein,57,57,1.0,1,2991,,,,120,204,202.52631578947367,
group_2240,,hypothetical protein,60,60,1.0,1,3003,,,,261,282,263.7,
group_2244,,hypothetical protein;Phage integrase family,61,61,1.0,1,3008,,,,588,621,599.360655737705,
group_2247,,Glycogen synthase,34,34,1.0,1,3011,,,,1020,1020,1020.0,
group_2250,,hypothetical protein,72,72,1.0,1,3015,,,,1020,1020,1020.0,
ilvB_2~~~ilvB_1~~~poxB_1~~~ilvB_3,ilvB_2;ilvB_1;poxB_1;;ilvB_3,acetolactate synthase large subunit;ubiquinone-dependent pyruvate dehydrogenase;hypothetical protein;NCBI Protein Cluster (PRK): thiamine pyrophosphate-binding protein;Thiamine pyrophosphate enzyme N-terminal TPP binding domain,745,751,1.008053691275168,1,3022,,,,156,1641,1617.276,
group_2260,,hypothetical protein,38,38,1.0,1,3029,,,,309,309,309.0,
group_2261,,,52,52,1.0,1,3031,,,,693,693,693.0,
group_2266,,hypothetical protein,23,23,1.0,1,3040,,,,141,141,141.0,
group_2270,,hypothetical protein,40,40,1.0,1,3045,,,,642,651,644.475,
group_2284,,hypothetical protein,33,33,1.0,1,3063,,,,261,267,262.72727272727275,
rfbB_1~~~rfbB,rfbB_1;rfbB,O-antigen export ABC transporter ATP-binding protein RfbB,51,51,1.0,1,3069,,,,1215,1215,1215.0,
mrkC_2,;mrkC_2,fimbria/pilus outer membrane usher protein;fimbrial biogenesis usher protein;type 3 fimbria usher protein MrkC,331,338,1.0211480362537764,1,3073,,,,351,2562,2488.718100890208,
group_2289,,ABC transporter substrate-binding protein,535,535,1.0,1,3077,,,,831,831,831.0,
group_2291,,oxidoreductase,149,149,1.0,1,3079,,,,897,897,897.0,
group_2292,,DMT family transporter,148,148,1.0,1,3080,,,,765,858,782.4285714285714,
pehA,;pehA,Sulfatase;Multifunctional alkaline phosphatase superfamily protein pRL90232;Multifunctional alkaline phosphatase superfamily protein PehA,258,259,1.003875968992248,1,3082,,,,669,1746,1738.5521235521237,
group_2294,,hypothetical protein,47,47,1.0,1,3083,,,,210,408,231.06382978723408,
baeR_2~~~baeR_1~~~phoB_2,;baeR_2;baeR_1;phoB_2,hypothetical protein;two-component system response regulator BaeR;phosphate response regulator transcription factor PhoB,911,912,1.0010976948408343,1,3089,,,,132,789,735.1881188118812,
group_2299,,ABC transporter transmembrane region;hypothetical protein,924,926,1.0021645021645025,1,3092,,,,174,912,878.3434452871072,
group_2300,,hypothetical protein;Accessory recombination function protein,118,118,1.0,1,3093,,,,123,159,158.6949152542373,
group_2303,,"hypothetical protein;"""";Polysaccharide biosynthesis protein",34,34,1.0,1,3096,,,,573,1266,1233.970588235294,
group_2306,,hypothetical protein,29,32,1.103448275862069,1,3101,,,,618,3534,2969.4,
group_2314,,"Terminase large subunit endonuclease domain;hypothetical protein;"""";Terminase large subunit ATPase domain",271,272,1.003690036900369,1,3111,,,,120,1722,1654.1,
group_2315,,MFS transporter;hypothetical protein,625,632,1.0112,1,3112,,,,228,1311,1290.8354430379748,Kp_02043
group_2316,,hypothetical protein,106,106,1.0,1,3113,,,,144,411,408.45714285714286,
group_2317,,DUF4400 domain-containing protein;hypothetical protein;Domain of unknown function (DUF4400),359,359,1.0,1,3114,,,,177,696,519.033426183844,
group_2319,,hypothetical protein;Phage portal protein lambda family,60,60,1.0,1,3116,,,,1500,1503,1502.75,
group_2326,,gpW,60,60,1.0,1,3123,,,,261,264,263.85,
group_2328,,2-oxoglutarate and iron-dependent oxygenase domain-containing protein;hypothetical protein,1355,1359,1.0029520295202952,1,3125,,,,138,1089,1084.2935982339957,Kp_03757
thyA_2~~~thyA_1,thyA_2;thyA_1,Thymidylate synthase,26,26,1.0,1,3127,,,,774,1086,1069.2692307692307,
group_2336,,hypothetical protein,36,36,1.0,1,3134,,,,225,225,225.0,
group_2338,,ATP phosphoribosyltransferase regulatory subunit;hypothetical protein,39,43,1.1025641025641026,1,3136,,,,384,4944,4412.093023255814,
group_2340,,hypothetical protein,23,23,1.0,1,3142,,,,1017,1017,1017.0,
group_2344,,hypothetical protein,139,139,1.0,1,3147,,,,207,699,692.7625899280575,
group_2345,,hypothetical protein;Protein of unknown function (DUF2491),139,141,1.014388489208633,1,3148,,,,210,660,648.9787234042553,
group_2349,,hypothetical protein,173,174,1.0057803468208093,1,3153,,,,156,1146,1128.1206896551723,
group_2352,,hypothetical protein,43,43,1.0,1,3156,,,,225,408,262.8837209302326,
group_2355,,hypothetical protein,58,58,1.0,1,3159,,,,108,108,108.0,
group_2357,,hypothetical protein,63,63,1.0,1,3161,,,,333,333,333.0,
group_2358,,fimbrial biogenesis outer membrane usher protein,345,345,1.0,1,3162,,,,486,2538,2527.8837209302324,
group_2361,,hypothetical protein,122,122,1.0,1,3165,,,,177,387,303.1967213114754,
group_2362,,hypothetical protein,71,71,1.0,1,3166,,,,297,297,297.0,
group_2364,,hypothetical protein,81,81,1.0,1,3168,,,,336,336,336.0,
group_2365,,hypothetical protein,41,41,1.0,1,3169,,,,273,273,273.0,
group_2366,,hypothetical protein,75,75,1.0,1,3170,,,,648,678,677.6,
group_2367,,Rap1a immunity proteins,33,33,1.0,1,3171,,,,285,345,337.5,
group_2370,,hypothetical protein;Bacteriophage lambda head decoration protein D,64,64,1.0,1,3174,,,,405,408,406.921875,
sppA_3~~~sppA_1~~~sppA_2,sppA_3;sppA_1;sppA_2;,Putative signal peptide peptidase SppA;hypothetical protein,64,64,1.0,1,3175,,,,321,870,858.796875,
group_2372,,hypothetical protein,41,41,1.0,1,3177,,,,690,795,721.0975609756098,
group_2377,,STY4528 family pathogenicity island replication protein,36,36,1.0,1,3182,,,,873,873,873.0,Kp_00577
group_2387,,hypothetical protein,132,132,1.0,1,3192,,,,300,306,300.05128205128204,
group_2388,rfbA_2;;rfbA_1,O-antigen export ABC transporter permease RfbA;hypothetical protein,337,337,1.0,1,3193,,,,159,786,781.433234421365,
zraS_2~~~zraS_1,zraS_2;zraS_1,two-component system sensor histidine kinase ZraS,86,86,1.0,1,3194,,,,969,1941,1928.85,
group_2392,,Type VI secretion system VasI EvfG VC_A0118;hypothetical protein,47,47,1.0,1,3200,,,,897,897,897.0,
group_2393,,Phage P2 GpU;hypothetical protein,196,197,1.0051020408163265,1,3202,,,,264,480,478.7230769230769,
group_2396,,TIGR03756 family integrating conjugative element protein,93,93,1.0,1,3205,,,,942,954,952.3225806451612,
group_2400,,hypothetical protein,89,89,1.0,1,3209,,,,438,438,438.0,
group_2401,,hypothetical protein,89,89,1.0,1,3210,,,,453,711,696.7752808988764,
group_2403,,HNH endonuclease,16,16,1.0,1,3213,,,,483,483,483.0,
group_2406,,hypothetical protein;Nucleotidyl transferase AbiEii toxin Type IV TA system,55,55,1.0,1,3217,,,,102,1089,907.0909090909092,
group_2408,,hypothetical protein,40,40,1.0,1,3219,,,,690,690,690.0,
group_2411,,hypothetical protein,25,26,1.04,1,3222,,,,795,3825,3566.608695652174,
group_2413,,TraG-like protein N-terminal region;hypothetical protein,46,47,1.0217391304347827,1,3224,,,,792,3615,3537.255319148936,
group_2414,,"hypothetical protein;"""";Polysaccharide biosynthesis C-terminal domain",24,24,1.0,1,3225,,,,621,1212,1121.7391304347825,
group_2417,,"Probable type I restriction enzyme BthVORF4518P M protein;hypothetical protein;""""",50,52,1.04,1,3229,,,,267,1635,1528.8461538461538,
group_2419,,hypothetical protein,46,46,1.0,1,3233,,,,396,1020,991.891304347826,
group_2426,,DoxX family protein,992,993,1.001008064516129,1,3244,,,,141,396,394.6875,Kp_02881
group_2427,,TetR/AcrR family transcriptional regulator,992,992,1.0,1,3247,,,,219,729,631.0315361139369,Kp_02882
group_2428,,Na+/H+ antiporter;hypothetical protein,1399,1415,1.0114367405289493,1,3248,,,,129,1653,1624.40777385159,Kp_03180
pcoE,pcoE,Probable copper-binding protein PcoE,70,70,1.0,1,3251,,,,270,435,430.3521126760563,
group_2430,,hypothetical protein,22,22,1.0,1,3252,,,,483,483,483.0,
group_2431,,hypothetical protein,51,51,1.0,1,3253,,,,360,363,360.05882352941177,
group_2434,,hypothetical protein;AAA domain-containing protein,24,30,1.25,1,3256,,,,174,3660,2824.9,
group_2437,,S24 family peptidase,98,98,1.0,1,3259,,,,657,831,707.5360824742268,Kp_01930
group_2443,,dATP/dGTP pyrophosphohydrolase;hypothetical protein,76,77,1.013157894736842,1,3266,,,,141,768,664.3636363636364,
group_2445,,hypothetical protein,44,44,1.0,1,3268,,,,483,750,743.4878048780488,
group_2447,,Bacteriophage replication gene A protein (GPA);hypothetical protein,179,180,1.005586592178771,1,3270,,,,297,2442,2334.921787709497,
allA,allA,ureidoglycolate lyase,55,55,1.0,1,3278,,,,483,483,483.0,Kp_01210
group_2454,,hypothetical protein,71,71,1.0,1,3282,,,,483,483,483.0,
group_2459,,NCBIFAM: phage terminase large subunit;hypothetical protein,42,42,1.0,1,3293,,,,1266,1611,1602.7857142857142,
group_2463,,NCBIFAM: protein DpdD,31,31,1.0,1,3297,,,,2172,2172,2172.0,
group_2464,,hypothetical protein,25,25,1.0,1,3298,,,,2172,2172,2172.0,
group_2467,,hypothetical protein,529,529,1.0,1,3301,,,,273,594,566.59477124183,Kp_04160
group_2471,,TIM barrel protein,30,30,1.0,1,3305,,,,1014,1014,1014.0,Kp_03735
group_2472,,hypothetical protein;DUF218 domain,137,140,1.0218978102189782,1,3306,,,,507,1263,1082.5,
hin_2~~~hin_3~~~hin_6~~~hin_1,hin_2;hin_3;hin_6;hin_1,DNA-invertase hin,45,46,1.022222222222222,1,3308,,,,600,711,629.6,
group_2474,,hypothetical protein;Bacterial TniB protein,42,43,1.0238095238095235,1,3309,,,,252,909,851.5714285714286,
ecpA_2~~~ecpA_1,ecpA_2;ecpA_1,common pilus major fimbrillin subunit EcpA,343,343,1.0,1,3310,,,,522,579,578.667638483965,
group_2476,,winged helix-turn-helix domain-containing protein;hypothetical protein,406,406,1.0,1,3316,,,,147,615,574.8,
cas3_1~~~cas3_2~~~cas3,cas3_1;cas3_2;cas3,CRISPR-associated helicase Cas3',158,162,1.0253164556962024,1,3317,,,,327,2616,2539.0925925925926,Kp_02822
group_2479,,hypothetical protein,29,29,1.0,1,3320,,,,186,186,186.0,
group_2480,,hypothetical protein,70,70,1.0,1,3321,,,,366,387,385.8,
