query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
tssL_1~~~tssL_3	199310.c3388	1.52e-112	328.0	COG3455@1|root,COG3455@2|Bacteria,1P9GW@1224|Proteobacteria,1S05F@1236|Gammaproteobacteria,3XPV8@561|Escherichia	1236|Gammaproteobacteria	S	Type VI secretion system protein DotU	-	-	-	ko:K11892	ko03070,map03070	M00334	-	-	ko00000,ko00001,ko00002,ko02044	3.A.23.1	-	-	DotU
group_5854	1144319.PMI16_04531	5.88e-109	329.0	COG1397@1|root,COG1397@2|Bacteria,1PMP7@1224|Proteobacteria,2W3VE@28216|Betaproteobacteria	28216|Betaproteobacteria	O	ADP-ribosylglycohydrolase	-	-	-	-	-	-	-	-	-	-	-	-	ADP_ribosyl_GH
srkA	573.JG24_13935	9.38e-257	702.0	COG2334@1|root,COG2334@2|Bacteria,1PGM7@1224|Proteobacteria,1RNPA@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	homoserine kinase type II (Protein kinase fold)	-	-	-	-	-	-	-	-	-	-	-	-	APH
group_5905	220341.16503368	3.95e-34	127.0	2C3Z0@1|root,33P50@2|Bacteria,1NMAV@1224|Proteobacteria,1SJDA@1236|Gammaproteobacteria	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
uvrA_2~~~uvrA_1~~~uvrA_3	575586.HMPREF0016_00079	4.24e-29	118.0	COG0178@1|root,COG0178@2|Bacteria,1MX79@1224|Proteobacteria,1RYSZ@1236|Gammaproteobacteria,3NMFT@468|Moraxellaceae	1236|Gammaproteobacteria	L	The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrA is an ATPase and a DNA-binding protein. A damage recognition complex composed of 2 UvrA and 2 UvrB subunits scans DNA for abnormalities. When the presence of a lesion has been verified by UvrB, the UvrA molecules dissociate	uvrA2	-	-	ko:K03701	ko03420,map03420	-	-	-	ko00000,ko00001,ko03400	-	-	-	ABC_tran
group_5942	1088868.CIN_03220	5.41e-94	285.0	COG0463@1|root,COG0463@2|Bacteria	2|Bacteria	M	Glycosyl transferase, family 2	ppm1	GO:0000030,GO:0003674,GO:0003824,GO:0004582,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006629,GO:0006643,GO:0006664,GO:0008150,GO:0008152,GO:0008610,GO:0009058,GO:0009247,GO:0009605,GO:0009607,GO:0009987,GO:0016020,GO:0016740,GO:0016757,GO:0016758,GO:0030312,GO:0035821,GO:0043207,GO:0044003,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044403,GO:0044419,GO:0044424,GO:0044444,GO:0044464,GO:0046467,GO:0050896,GO:0051701,GO:0051704,GO:0051707,GO:0051817,GO:0052031,GO:0052173,GO:0052200,GO:0052255,GO:0052552,GO:0052553,GO:0052564,GO:0052572,GO:0070085,GO:0071704,GO:0071944,GO:0075136,GO:0097502,GO:1901135,GO:1901137,GO:1901576,GO:1903509	-	ko:K03820	-	-	-	-	ko00000,ko01000	-	GT2	iNJ661.Rv2051c	Glycos_transf_2
group_5952	28152.DJ57_2368	8.38e-215	597.0	COG3621@1|root,COG3621@2|Bacteria,1R852@1224|Proteobacteria,1TIJU@1236|Gammaproteobacteria,41HMA@629|Yersinia	1236|Gammaproteobacteria	S	Patatin-like phospholipase	-	-	-	-	-	-	-	-	-	-	-	-	Patatin
group_5992	1286170.RORB6_02080	2.11e-63	210.0	COG3774@1|root,COG3774@2|Bacteria,1RH7E@1224|Proteobacteria,1SPZJ@1236|Gammaproteobacteria	1236|Gammaproteobacteria	M	Capsular polysaccharide synthesis protein	-	-	-	-	-	-	-	-	-	-	-	-	Caps_synth
group_5993	1484157.PSNIH2_19970	2.32e-15	69.7	2994A@1|root,2ZW7T@2|Bacteria,1PABF@1224|Proteobacteria,1SUS2@1236|Gammaproteobacteria,3W2GQ@53335|Pantoea	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
group_6002	1115512.EH105704_05_01770	2.22e-209	582.0	COG0583@1|root,COG0583@2|Bacteria,1MW16@1224|Proteobacteria,1RQJ3@1236|Gammaproteobacteria,3XQV8@561|Escherichia	1236|Gammaproteobacteria	K	LysR substrate binding domain	-	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
gatA	573.JG24_22615	2.21e-98	286.0	COG1762@1|root,COG1762@2|Bacteria,1RDXB@1224|Proteobacteria,1S5QX@1236|Gammaproteobacteria	1236|Gammaproteobacteria	G	Phosphoenolpyruvate-dependent sugar phosphotransferase system	gatA	GO:0003674,GO:0003824,GO:0005215,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006810,GO:0008150,GO:0008643,GO:0009401,GO:0015144,GO:0015791,GO:0015796,GO:0015850,GO:0016020,GO:0016740,GO:0016772,GO:0016773,GO:0022804,GO:0022857,GO:0034219,GO:0044424,GO:0044444,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071944,GO:0090563,GO:0090584	2.7.1.200	ko:K02773	ko00052,ko01100,ko02060,map00052,map01100,map02060	M00279	R05570	RC00017,RC03206	ko00000,ko00001,ko00002,ko01000,ko02000	4.A.5.1	-	iECIAI39_1322.ECIAI39_0923	PTS_EIIA_2
group_6054	573.JG24_22605	7.39e-186	517.0	COG1925@1|root,COG4668@1|root,COG1925@2|Bacteria,COG4668@2|Bacteria,1MVP6@1224|Proteobacteria,1RQP4@1236|Gammaproteobacteria	1236|Gammaproteobacteria	G	Bifunctional PTS system fructose-specific transporter subunit IIA HPr protein	-	-	2.7.1.202	ko:K02768,ko:K11183,ko:K11189	ko00051,ko01100,ko01120,ko02060,map00051,map01100,map01120,map02060	M00273	R03232	RC00017,RC03206	ko00000,ko00001,ko00002,ko01000,ko02000	4.A.2.1	-	-	PTS-HPr,PTS_EIIA_2
ttdA~~~ttdA_2	573.JG24_23090	1.64e-200	565.0	COG1951@1|root,COG1951@2|Bacteria,1MW8J@1224|Proteobacteria,1RPUD@1236|Gammaproteobacteria	1236|Gammaproteobacteria	C	Tartrate	ttdA	GO:0008150,GO:0008152,GO:1901275	4.2.1.32	ko:K03779	ko00630,map00630	-	R00339	RC01382	ko00000,ko00001,ko01000	-	-	iLF82_1304.LF82_2330	Fumerase
group_6074	573.JG24_23100	3.11e-144	408.0	COG1802@1|root,COG1802@2|Bacteria,1PVSJ@1224|Proteobacteria,1S0ZK@1236|Gammaproteobacteria	1236|Gammaproteobacteria	K	FCD	-	-	-	-	-	-	-	-	-	-	-	-	FCD,GntR
pkn1~~~prkC	1441930.Z042_16300	0.0	946.0	COG0457@1|root,COG0515@1|root,COG0457@2|Bacteria,COG0515@2|Bacteria,1MVEU@1224|Proteobacteria,1S0IU@1236|Gammaproteobacteria	1236|Gammaproteobacteria	KLT	serine threonine protein kinase	pknB	-	2.7.11.1	ko:K08884,ko:K12132	-	-	-	-	ko00000,ko01000,ko01001	-	-	-	Pkinase,TPR_10,TPR_12
group_6124	155864.EDL933_0603	2.37e-288	800.0	COG0074@1|root,COG0074@2|Bacteria,1MWWN@1224|Proteobacteria,1RME7@1236|Gammaproteobacteria,3XQJD@561|Escherichia	1236|Gammaproteobacteria	C	multicopy suppressor of dominant negative ftsH	fdrA	GO:0001539,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006928,GO:0008150,GO:0009361,GO:0009987,GO:0032991,GO:0040011,GO:0042709,GO:0044424,GO:0044444,GO:0044464,GO:0045239,GO:0048870,GO:0051179,GO:0051674,GO:0071973,GO:0097588,GO:1902494	-	ko:K02381	-	-	-	-	ko00000	-	-	-	CoA_binding,Ligase_CoA
hdeB_2~~~hdeB_1	1216966.BAUC01000033_gene2827	3.16e-28	105.0	2EACP@1|root,334GK@2|Bacteria,1N783@1224|Proteobacteria,1SD8J@1236|Gammaproteobacteria	1236|Gammaproteobacteria	M	Required for optimal acid stress protection, which is important for survival of enteric bacteria in the acidic environment of the host stomach. Exhibits a chaperone-like activity at acidic pH by preventing the aggregation of many different periplasmic proteins	hdeB	-	-	ko:K19778	-	-	-	-	ko00000,ko03110	-	-	-	HdeA
group_6183	291112.PAU_02381	7.88e-56	175.0	COG0831@1|root,COG0831@2|Bacteria,1RGXE@1224|Proteobacteria,1S65Y@1236|Gammaproteobacteria	1236|Gammaproteobacteria	E	Belongs to the urease gamma subunit family	ureA	-	3.5.1.5	ko:K01430	ko00220,ko00230,ko00791,ko01100,ko01120,map00220,map00230,map00791,map01100,map01120	-	R00131	RC02798,RC02806	ko00000,ko00001,ko01000	-	-	-	Urease_gamma
group_6197	573.JG24_19305	2.25e-147	416.0	COG1309@1|root,COG1309@2|Bacteria,1RCI9@1224|Proteobacteria,1S3KX@1236|Gammaproteobacteria	1236|Gammaproteobacteria	K	Bacterial regulatory proteins, tetR family	-	-	-	-	-	-	-	-	-	-	-	-	TetR_N
group_6198	573.JG24_19295	0.0	957.0	COG2303@1|root,COG2303@2|Bacteria,1PCAT@1224|Proteobacteria,1RQ9X@1236|Gammaproteobacteria	1236|Gammaproteobacteria	E	GMC oxidoreductase	-	-	-	-	-	-	-	-	-	-	-	-	GMC_oxred_C,GMC_oxred_N
group_6227	571.MC52_00605	4.04e-33	122.0	COG2801@1|root,COG2801@2|Bacteria,1MVXQ@1224|Proteobacteria,1RR4F@1236|Gammaproteobacteria	1236|Gammaproteobacteria	L	COG2801 Transposase and inactivated derivatives	insF	-	-	ko:K07497	-	-	-	-	ko00000	-	-	-	HTH_21,rve,rve_2
group_6235	716541.ECL_03143	1.05e-49	165.0	COG4104@1|root,COG4104@2|Bacteria,1N5BC@1224|Proteobacteria,1SARD@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	PAAR repeat-containing protein	-	-	-	-	-	-	-	-	-	-	-	-	PAAR_motif
group_6237	61647.LG71_05420	8.66e-44	147.0	2B385@1|root,32WC0@2|Bacteria,1N1WM@1224|Proteobacteria,1SAA8@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	membrane	-	-	-	-	-	-	-	-	-	-	-	-	DUF943
xylA_2~~~xylA_1	1082705.JIBP01000020_gene1734	1.68e-184	519.0	COG4952@1|root,COG4952@2|Bacteria,1PSSV@1224|Proteobacteria,1RNMG@1236|Gammaproteobacteria	1236|Gammaproteobacteria	G	isomerase	-	-	5.3.1.5	ko:K01805	ko00040,ko00051,ko01100,map00040,map00051,map01100	-	R00878,R01432	RC00376,RC00516	ko00000,ko00001,ko01000	-	-	-	AP_endonuc_2
group_6255	640513.Entas_3964	5.37e-74	221.0	COG5614@1|root,COG5614@2|Bacteria,1N9Y5@1224|Proteobacteria,1SEH5@1236|Gammaproteobacteria,3X2VJ@547|Enterobacter	1236|Gammaproteobacteria	S	head-tail adaptor	-	-	-	-	-	-	-	-	-	-	-	-	Phage_H_T_join
group_6312	1484157.PSNIH2_21935	4.57e-64	200.0	2AVMP@1|root,31MEH@2|Bacteria,1RHCH@1224|Proteobacteria,1S77D@1236|Gammaproteobacteria,3W177@53335|Pantoea	1236|Gammaproteobacteria	-	-	terW	-	-	-	-	-	-	-	-	-	-	-	-
group_6377	1392489.JPOL01000002_gene350	5.49e-98	299.0	COG0463@1|root,COG0463@2|Bacteria,4NJKQ@976|Bacteroidetes	976|Bacteroidetes	M	Pfam Glycosyl transferase family 2	-	-	-	-	-	-	-	-	-	-	-	-	Glycos_transf_2
group_6390	573.JG24_19325	0.0	895.0	COG3659@1|root,COG3659@2|Bacteria,1R591@1224|Proteobacteria,1RRM9@1236|Gammaproteobacteria	1236|Gammaproteobacteria	M	Carbohydrate-selective porin, OprB family	-	-	-	ko:K07267	-	-	-	-	ko00000,ko02000	1.B.19.1	-	-	OprB
repA_2~~~repA	1214065.BAGV01000099_gene2104	5.17e-87	269.0	28ICS@1|root,2Z8F1@2|Bacteria,1N32S@1224|Proteobacteria,1RQEN@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	RePlication protein	-	-	-	-	-	-	-	-	-	-	-	-	Rep_3
group_6415	1484158.PSNIH1_19190	8.03e-43	142.0	2AV27@1|root,31KS2@2|Bacteria,1QIMS@1224|Proteobacteria,1TGGY@1236|Gammaproteobacteria,3W2CF@53335|Pantoea	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
group_6439	1224318.DT73_08445	2.17e-52	178.0	COG3710@1|root,COG3710@2|Bacteria,1NRJ9@1224|Proteobacteria,1SK9R@1236|Gammaproteobacteria	1236|Gammaproteobacteria	K	Transcriptional regulatory protein, C terminal	-	-	-	-	-	-	-	-	-	-	-	-	Trans_reg_C
ompK35_2~~~ompK35_1	573.JG24_07275	3.21e-82	252.0	COG3203@1|root,COG3203@2|Bacteria,1MVRY@1224|Proteobacteria,1RNBS@1236|Gammaproteobacteria	1236|Gammaproteobacteria	M	Belongs to the Gram-negative porin family	ompF	-	-	ko:K09475,ko:K09476,ko:K11929,ko:K14062	ko01501,ko02020,map01501,map02020	M00746	-	-	ko00000,ko00001,ko00002,ko01504,ko02000	1.B.1.1,1.B.1.1.1,1.B.1.1.2,1.B.1.1.3	-	-	Porin_1
tetR_3~~~tetR_2~~~tetR	521000.PROVRETT_07049	2.46e-100	298.0	COG1309@1|root,COG1309@2|Bacteria,1REPQ@1224|Proteobacteria,1S426@1236|Gammaproteobacteria,3Z9S2@586|Providencia	1236|Gammaproteobacteria	K	Transcriptional regulator	tetR	-	-	ko:K18476	-	M00668	-	-	ko00000,ko00002,ko03000	-	-	-	TetR_C,TetR_N
group_6534	78398.KS43_19420	1.59e-66	204.0	29RTM@1|root,30CXH@2|Bacteria,1RGMP@1224|Proteobacteria,1S5EK@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Bacteriophage related domain of unknown function	-	-	-	-	-	-	-	-	-	-	-	-	DUF4128
acnB_2	568768.CM001975_gene2963	0.0	1329.0	COG1049@1|root,COG1049@2|Bacteria,1MVCR@1224|Proteobacteria,1RNMC@1236|Gammaproteobacteria,2JCZJ@204037|Dickeya	1236|Gammaproteobacteria	C	Belongs to the aconitase IPM isomerase family	acnB	GO:0003674,GO:0003676,GO:0003723,GO:0003729,GO:0003730,GO:0003824,GO:0003994,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0006081,GO:0006082,GO:0006091,GO:0006097,GO:0006099,GO:0006101,GO:0006417,GO:0006629,GO:0006631,GO:0008150,GO:0008152,GO:0009056,GO:0009060,GO:0009062,GO:0009889,GO:0009987,GO:0010468,GO:0010556,GO:0010608,GO:0015980,GO:0016042,GO:0016054,GO:0016829,GO:0016835,GO:0016836,GO:0016999,GO:0017001,GO:0017144,GO:0019222,GO:0019541,GO:0019543,GO:0019626,GO:0019629,GO:0019752,GO:0031323,GO:0031326,GO:0032268,GO:0032787,GO:0034248,GO:0042737,GO:0043436,GO:0044237,GO:0044238,GO:0044242,GO:0044248,GO:0044255,GO:0044262,GO:0044281,GO:0044282,GO:0044424,GO:0044444,GO:0044464,GO:0045333,GO:0046395,GO:0046459,GO:0046487,GO:0047456,GO:0048037,GO:0050789,GO:0050794,GO:0051171,GO:0051246,GO:0051536,GO:0051539,GO:0051540,GO:0055114,GO:0060255,GO:0065007,GO:0071704,GO:0072329,GO:0072350,GO:0080090,GO:0097159,GO:1901363,GO:1901575,GO:2000112	4.2.1.3,4.2.1.99	ko:K01682	ko00020,ko00630,ko00640,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,ko01210,ko01230,map00020,map00630,map00640,map00720,map01100,map01110,map01120,map01130,map01200,map01210,map01230	M00009,M00010,M00012,M00173	R01324,R01325,R01900,R04425	RC00497,RC00498,RC00618,RC01153	br01601,ko00000,ko00001,ko00002,ko01000	-	-	iECIAI1_1343.ECIAI1_0116,iPC815.YPO3415	Aconitase,Aconitase_2_N,Aconitase_B_N
group_6585	399741.Spro_1589	4.99e-100	307.0	COG2327@1|root,COG2327@2|Bacteria,1NBGE@1224|Proteobacteria,1SG4Y@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Polysaccharide pyruvyl transferase	-	-	-	-	-	-	-	-	-	-	-	-	PS_pyruv_trans
group_6595	1441930.Z042_16320	7.61e-187	521.0	2EEH8@1|root,338B1@2|Bacteria,1NXZK@1224|Proteobacteria	1224|Proteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
htpX_2~~~htpX_1	1006000.GKAS_04675	3.08e-197	551.0	COG0501@1|root,COG0501@2|Bacteria,1MUV4@1224|Proteobacteria,1RZYT@1236|Gammaproteobacteria	1236|Gammaproteobacteria	O	Peptidase M48	-	-	-	ko:K03799	-	M00743	-	-	ko00000,ko00002,ko01000,ko01002	-	-	-	Peptidase_M48
allE_2~~~allE	220341.16501793	3.32e-170	477.0	COG3257@1|root,COG3257@2|Bacteria,1MW60@1224|Proteobacteria,1RQFK@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	protein, possibly involved in glyoxylate utilization	ylbA	GO:0003674,GO:0003824,GO:0005488,GO:0016787,GO:0016810,GO:0016813,GO:0030145,GO:0043167,GO:0043169,GO:0046872,GO:0046914,GO:0071522	3.5.3.26	ko:K14977	ko00230,ko01120,map00230,map01120	-	R05554	RC01419	ko00000,ko00001,ko01000	-	-	-	Cupin_2,Cupin_3
group_6645	469595.CSAG_00864	0.0	1697.0	2EC3P@1|root,3362I@2|Bacteria,1QHUK@1224|Proteobacteria,1SKHG@1236|Gammaproteobacteria	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
group_6650	573.JG24_12285	3.77e-73	223.0	COG3064@1|root,COG3064@2|Bacteria,1N8KS@1224|Proteobacteria,1SFQ5@1236|Gammaproteobacteria	1236|Gammaproteobacteria	M	TolA C-terminal	-	-	-	ko:K03646	-	-	-	-	ko00000,ko02000	2.C.1.2	-	-	TolA
leuC_2	1163671.JAGI01000003_gene648	0.0	1118.0	COG1048@1|root,COG1048@2|Bacteria,1VTMM@1239|Firmicutes,25HJM@186801|Clostridia,36FJS@31979|Clostridiaceae	186801|Clostridia	C	aconitate hydratase	ybhJ	-	4.2.1.3	ko:K01681	ko00020,ko00630,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,ko01210,ko01230,map00020,map00630,map00720,map01100,map01110,map01120,map01130,map01200,map01210,map01230	M00009,M00010,M00012,M00173,M00740	R01324,R01325,R01900	RC00497,RC00498,RC00618	br01601,ko00000,ko00001,ko00002,ko01000	-	-	-	Aconitase,Aconitase_C
pimB	1410619.SRDD_33110	1.02e-114	347.0	COG0438@1|root,COG0438@2|Bacteria,1QDNP@1224|Proteobacteria,1S803@1236|Gammaproteobacteria	1236|Gammaproteobacteria	M	Glycosyltransferase Family 4	-	-	-	-	-	-	-	-	-	-	-	-	Glyco_transf_4,Glycos_transf_1
group_6716	598467.BrE312_4042	0.0	1859.0	COG0553@1|root,COG0553@2|Bacteria,1MX6H@1224|Proteobacteria,1RZ3F@1236|Gammaproteobacteria	1236|Gammaproteobacteria	L	SNF2 family N-terminal domain	-	-	-	ko:K03580	-	-	-	-	ko00000,ko01000,ko03021	-	-	-	Helicase_C,SNF2_N
cas2e	1410619.SRDD_13810	1.82e-55	173.0	2CK7Z@1|root,32VP2@2|Bacteria,1N6N8@1224|Proteobacteria,1SPMA@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	CRISPR-associated protein (Cas_Cas2CT1978)	-	-	-	-	-	-	-	-	-	-	-	-	Cas_Cas2CT1978
urtB_2~~~urtB_1	571.MC52_00860	5.05e-207	574.0	COG0559@1|root,COG0559@2|Bacteria,1MVND@1224|Proteobacteria,1RQXD@1236|Gammaproteobacteria	1236|Gammaproteobacteria	E	Belongs to the binding-protein-dependent transport system permease family	-	-	-	ko:K11960	ko02010,map02010	M00323	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.4.4,3.A.1.4.5	-	-	BPD_transp_2
group_6802	573.JG24_12320	3.13e-62	191.0	COG1445@1|root,COG1445@2|Bacteria,1RHDH@1224|Proteobacteria,1S65H@1236|Gammaproteobacteria	1236|Gammaproteobacteria	G	PTS system fructose-specific IIB	manP	-	2.7.1.202	ko:K02769	ko00051,ko01100,ko01120,ko02060,map00051,map01100,map01120,map02060	M00273	R03232	RC00017,RC03206	ko00000,ko00001,ko00002,ko01000,ko02000	4.A.2.1	-	-	PTS_IIB
group_6809	573.JG24_01965	1.16e-154	435.0	2BVH1@1|root,32QVP@2|Bacteria,1RGI1@1224|Proteobacteria,1S56Y@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Type-IV b secretion system, inner-membrane complex component	-	-	-	ko:K12214	-	-	-	-	ko00000,ko02044	3.A.7.10.1,3.A.7.9.1	-	-	T4BSS_DotI_IcmL
group_6810	82996.sch_05735	3.76e-35	127.0	2DPDF@1|root,331KJ@2|Bacteria,1PYGA@1224|Proteobacteria,1SQYN@1236|Gammaproteobacteria	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
group_6811	571.MC52_17600	2.44e-127	362.0	COG0847@1|root,COG0847@2|Bacteria,1RDF2@1224|Proteobacteria,1S597@1236|Gammaproteobacteria	1236|Gammaproteobacteria	L	Exonuclease	-	-	-	-	-	-	-	-	-	-	-	-	DUF5051,RNase_T
group_6812	883080.HMPREF9697_02947	2.31e-26	109.0	COG2801@1|root,COG2801@2|Bacteria,1QWUR@1224|Proteobacteria,2UNQE@28211|Alphaproteobacteria	28211|Alphaproteobacteria	L	Integrase core domain	-	-	-	-	-	-	-	-	-	-	-	-	rve
dcd_1~~~dcd_2	754035.Mesau_00922	4.73e-67	211.0	COG0717@1|root,COG0717@2|Bacteria	2|Bacteria	F	dUTP biosynthetic process	dcd	-	3.5.4.13	ko:K01494	ko00240,ko01100,map00240,map01100	M00053	R00568,R02325	RC00074	ko00000,ko00001,ko00002,ko01000	-	-	-	dUTPase
group_6900	573.JG24_12275	8.88e-166	465.0	COG5426@1|root,COG5426@2|Bacteria,1NPB8@1224|Proteobacteria,1RQ5S@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Putative glutamine amidotransferase	-	-	-	-	-	-	-	-	-	-	-	-	GATase1_like
group_6940	741091.Rahaq_4583	7.68e-169	491.0	2CA65@1|root,2Z8DY@2|Bacteria,1MXGI@1224|Proteobacteria,1RY8E@1236|Gammaproteobacteria,3FI8Y@34037|Rahnella	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
glpT_2~~~glpT~~~glpT_1	573.JG24_17685	5.04e-263	724.0	COG2271@1|root,COG2271@2|Bacteria,1MX4V@1224|Proteobacteria,1RMB3@1236|Gammaproteobacteria	1236|Gammaproteobacteria	G	transporter	glpT	GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006817,GO:0006820,GO:0008150,GO:0008509,GO:0008643,GO:0015075,GO:0015103,GO:0015114,GO:0015144,GO:0015166,GO:0015168,GO:0015291,GO:0015297,GO:0015301,GO:0015315,GO:0015318,GO:0015527,GO:0015698,GO:0015711,GO:0015748,GO:0015791,GO:0015793,GO:0015794,GO:0015850,GO:0016020,GO:0022804,GO:0022857,GO:0034219,GO:0034220,GO:0035435,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071944,GO:0098656,GO:0098660,GO:0098661,GO:0099516,GO:1901264,GO:1901618	-	ko:K02445	-	-	-	-	ko00000,ko02000	2.A.1.4.3	-	iECH74115_1262.ECH74115_3377,iECIAI39_1322.ECIAI39_2383,iECSP_1301.ECSP_3115,iECs_1301.ECs3125,iEcSMS35_1347.EcSMS35_2392,iG2583_1286.G2583_2780,iSFV_1184.SFV_2312,iZ_1308.Z3498	MFS_1
fumA_3~~~fumA_1	90371.CY43_04105	7.31e-114	328.0	COG1838@1|root,COG1838@2|Bacteria,1R33Y@1224|Proteobacteria,1T62U@1236|Gammaproteobacteria	1236|Gammaproteobacteria	C	Fumarase C-terminus	-	-	4.2.1.2	ko:K01678	ko00020,ko00620,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,map00020,map00620,map00720,map01100,map01110,map01120,map01130,map01200	M00009,M00011,M00173,M00374,M00620	R01082	RC00443	ko00000,ko00001,ko00002,ko01000	-	-	-	Fumerase_C
group_7144	322710.Avin_51870	1.24e-177	523.0	COG1414@1|root,COG1502@1|root,COG1414@2|Bacteria,COG1502@2|Bacteria,1RBPF@1224|Proteobacteria	1224|Proteobacteria	I	Transcriptional regulator	-	-	-	-	-	-	-	-	-	-	-	-	PLDc_2
group_7191	1169143.KB911036_gene4718	2.12e-147	423.0	28MN3@1|root,2ZAXQ@2|Bacteria,1R4C0@1224|Proteobacteria,2VWJA@28216|Betaproteobacteria,1KEP9@119060|Burkholderiaceae	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
group_7196	243265.plu4175	2.42e-22	91.3	2BEYT@1|root,328QF@2|Bacteria,1RI4C@1224|Proteobacteria,1S61V@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	pyocin s3 immunity protein	-	-	-	-	-	-	-	-	-	-	-	-	-
glgM	573.JG24_03400	5.9e-300	817.0	COG0438@1|root,COG0438@2|Bacteria,1NB81@1224|Proteobacteria,1S0BA@1236|Gammaproteobacteria	1236|Gammaproteobacteria	M	glycosyl transferase group 1	-	-	2.4.1.56	ko:K03280	ko00540,ko01100,map00540,map01100	M00080	R01996	RC00005	ko00000,ko00001,ko00002,ko01000,ko01003,ko01005	-	GT4,GT9	-	Glyco_transf_4,Glycos_transf_1
group_12358	1028307.EAE_03050	3.51e-72	216.0	2DMWX@1|root,32U6C@2|Bacteria,1N0Z3@1224|Proteobacteria,1SBKR@1236|Gammaproteobacteria,3X3V1@547|Enterobacter	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
nanC_1~~~nanC	573.JG24_28140	7.84e-160	450.0	COG1452@1|root,COG1452@2|Bacteria,1RKI2@1224|Proteobacteria,1S6AC@1236|Gammaproteobacteria	1236|Gammaproteobacteria	M	Outer membrane channel protein allowing the entry of N- acetylneuraminic acid (Neu5Ac, the most abundant sialic acid on host cell surfaces) into the bacteria	nanC	GO:0003674,GO:0005215,GO:0005342,GO:0005575,GO:0005623,GO:0006810,GO:0006811,GO:0006820,GO:0008150,GO:0008509,GO:0008514,GO:0008643,GO:0009279,GO:0015075,GO:0015136,GO:0015144,GO:0015157,GO:0015267,GO:0015288,GO:0015318,GO:0015478,GO:0015711,GO:0015739,GO:0015772,GO:0015849,GO:0016020,GO:0016021,GO:0019867,GO:0022803,GO:0022829,GO:0022857,GO:0030312,GO:0030313,GO:0031224,GO:0031230,GO:0031975,GO:0034219,GO:0034220,GO:0044425,GO:0044462,GO:0044464,GO:0045203,GO:0046942,GO:0046943,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071944,GO:0098656,GO:1901264,GO:1901505,GO:1903825,GO:1905039	-	ko:K22110	-	-	-	-	ko00000,ko02000	1.B.35.1,1.B.35.2	-	ic_1306.c5389	KdgM
